Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
FemaleName_1,白子,Shiroko,白子,Широко,Shiroko,Shiroko,Shiroko,シロコ,Shiroko,Shiroko,Shiroko,Shiroko,시로코,Shiroko
FemaleName_2,星野,Hoshino,星野,Хошино,Hoshino,Hoshino,Hoshino,ホシノ,Hoshino,Hoshino,Hoshino,Hoshino,호시노,Hoshino
FemaleName_3,芹香,Serika,芹香,Серика,Serika,Serika,Serika,セリカ,Serika,Serika,Serika,Serika,세리카,Serika
FemaleName_4,野宫,Nonomi,野宮,Нономи,Nonomi,Nonomi,Nonomi,ノノミ,Nonomi,Nonomi,Nonomi,Nonomi,노노미,Nonomi
FemaleName_5,绫音,Ayane,綾音,Аянэ,Ayane,Ayane,Ayane,アヤネ,Ayane,Ayane,Ayane,Ayane,아야네,Ayane
FemaleName_6,樱,Sakura,櫻,Сакура,Sakura,Sakura,Sakura,サクラ,Sakura,Sakura,Sakura,Sakura,사쿠라,Sakura
FemaleName_7,美咲,Misaki,美咲,Мисаки,Misaki,Misaki,Misaki,ミサキ,Misaki,Misaki,Misaki,Misaki,미사키,Misaki
FemaleName_8,优衣,Yui,優衣,Юи,Yui,Yui,Yui,ユイ,Yui,Yui,Yui,Yui,유이,Yui
FemaleName_9,结衣,Yui,結衣,Юи,Yui,Yui,Yui,ユイ,Yui,Yui,Yui,Yui,유이,Yui
FemaleName_10,爱,Ai,愛,Ай,Ai,Ai,Ai,アイ,Ai,Ai,Ai,Ai,아이,Ai
FemaleName_11,葵,Aoi,葵,Аой,Aoi,Aoi,Aoi,アオイ,Aoi,Aoi,Aoi,Aoi,아오이,Aoi
FemaleName_12,遥,Haruka,遙,Харука,Haruka,Haruka,Haruka,ハルカ,Haruka,Haruka,Haruka,Haruka,하루카,Haruka
FemaleName_13,春奈,Haruna,春奈,Харуна,Haruna,Haruna,Haruna,ハルナ,Haruna,Haruna,Haruna,Haruna,하루나,Haruna
FemaleName_14,莉子,Riko,莉子,Рико,Riko,Riko,Riko,リコ,Riko,Riko,Riko,Riko,리코,Riko
FemaleName_15,美羽,Miu,美羽,Миу,Miu,Miu,Miu,ミウ,Miu,Miu,Miu,Miu,미우,Miu
FemaleName_16,千夏,Chinatsu,千夏,Чинацу,Chinatsu,Chinatsu,Chinatsu,チナツ,Chinatsu,Chinatsu,Chinatsu,Chinatsu,치나츠,Chinatsu
FemaleName_17,柚希,Yuzuki,柚希,Юдзуки,Yuzuki,Yuzuki,Yuzuki,ユズキ,Yuzuki,Yuzuki,Yuzuki,Yuzuki,유즈키,Yuzuki
FemaleName_18,凛,Rin,凜,Рин,Rin,Rin,Rin,リン,Rin,Rin,Rin,Rin,린,Rin
FemaleName_19,穗乃香,Honoka,穗乃香,Хонока,Honoka,Honoka,Honoka,ホノカ,Honoka,Honoka,Honoka,Honoka,호노카,Honoka
FemaleName_20,琴音,Kotone,琴音,Котонэ,Kotone,Kotone,Kotone,コトネ,Kotone,Kotone,Kotone,Kotone,코토네,Kotone
FemaleName_21,真央,Mao,真央,Мао,Mao,Mao,Mao,マオ,Mao,Mao,Mao,Mao,마오,Mao
FemaleName_22,茜,Akane,茜,Аканэ,Akane,Akane,Akane,アカネ,Akane,Akane,Akane,Akane,아카네,Akane
FemaleName_23,纱耶,Saya,紗耶,Сая,Saya,Saya,Saya,サヤ,Saya,Saya,Saya,Saya,사야,Saya
FemaleName_24,诗织,Shiori,詩織,Сиори,Shiori,Shiori,Shiori,シオリ,Shiori,Shiori,Shiori,Shiori,시오리,Shiori
FemaleName_25,雫,Shizuku,雫,Сидзуку,Shizuku,Shizuku,Shizuku,シズク,Shizuku,Shizuku,Shizuku,Shizuku,시즈쿠,Shizuku
FemaleName_26,瑞希,Mizuki,瑞希,Мидзуки,Mizuki,Mizuki,Mizuki,ミズキ,Mizuki,Mizuki,Mizuki,Mizuki,미즈키,Mizuki
FemaleName_27,奏,Kanade,奏,Канадэ,Kanade,Kanade,Kanade,カナデ,Kanade,Kanade,Kanade,Kanade,카나데,Kanade
FemaleName_28,绫,Aya,綾,Ая,Aya,Aya,Aya,アヤ,Aya,Aya,Aya,Aya,아야,Aya
FemaleName_29,千寻,Chihiro,千尋,Чихиро,Chihiro,Chihiro,Chihiro,チヒロ,Chihiro,Chihiro,Chihiro,Chihiro,치히로,Chihiro
FemaleName_30,美月,Mizuki,美月,Мидзуки,Mizuki,Mizuki,Mizuki,ミヅキ,Mizuki,Mizuki,Mizuki,Mizuki,미즈키,Mizuki
FemaleName_31,千代,Chiyo,千代,Тиё,Chiyo,Chiyo,Chiyo,チヨ,Chiyo,Chiyo,Chiyo,Chiyo,치요,Chiyo
FemaleName_32,沙耶香,Sayaka,沙耶香,Саяка,Sayaka,Sayaka,Sayaka,サヤカ,Sayaka,Sayaka,Sayaka,Sayaka,사야카,Sayaka
FemaleName_33,莉莉,Lily,莉莉,Лили,Lily,Lily,Lily,リリー,Lily,Lily,Lily,Lily,릴리,Lily
FemaleName_34,优奈,Yuna,優奈,Юна,Yuna,Yuna,Yuna,ユナ,Yuna,Yuna,Yuna,Yuna,유나,Yuna
FemaleName_35,惠,Megumi,惠,Мэгуми,Megumi,Megumi,Megumi,メグミ,Megumi,Megumi,Megumi,Megumi,메구미,Megumi
