Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
LastName_1,柳迪姆,Takanashi,柳迪姆,Людым,Lyudym,Lyudym,Lyudym,リューディム,Lyudym,Lyudym,Lyudym,Lyudym,류딤,Lyudym
LastName_2,布拉戈,Sunaookami,布拉戈,Благо,Blago,Blago,Blago,ブラゴ,Blago,Blago,Blago,Blago,블라고,Blago
LastName_3,查特尔斯,Kuromi,查特爾斯,Чаттлз,Chattles,Chattles,Chattles,チャトルズ,Chattles,Chattles,Chattles,Chattles,챠틀스,Chattles
LastName_4,佩姆拜,Izayoi,佩姆拜,Пембай,Pembai,Pembai,Pembai,ペンバイ,Pembai,Pembai,Pembai,Pembai,펨바이,Pembai
LastName_5,劳德,Okusora,勞德,Лауде,Laude,Laude,Laude,ラウデ,Laude,Laude,Laude,Laude,라우데,Laude
LastName_6,安根,Nanagami,安根,Анген,Angen,Angen,Angen,アンゲン,Angen,Angen,Angen,Angen,앙겐,Angen
LastName_7,库巴拉,Yuraki,庫巴拉,Кубара,Kubara,Kubara,Kubara,クバラ,Kubara,Kubara,Kubara,Kubara,쿠바라,Kubara
LastName_8,杜科夫斯克,Iwabitsu,杜科夫斯克,Дуковск,Doukovsk,Doukovsk,Doukovsk,ドゥコフスク,Doukovsk,Doukovsk,Doukovsk,Doukovsk,두코프스크,Doukovsk
LastName_9,伊万顿,Shiranui,伊萬頓,Ивантон,Ivanton,Ivanton,Ivanton,イヴァントン,Ivanton,Ivanton,Ivanton,Ivanton,이반톤,Ivanton
LastName_10,伊斯洛图西斯,Oki,伊斯洛圖西斯,Ислотусис,Islothusis,Islothusis,Islothusis,イスロトゥシス,Islothusis,Islothusis,Islothusis,Islothusis,이슬로투시스,Islothusis
LastName_11,索里,Haine,索里,Сори,Thory,Thory,Thory,ソリー,Thory,Thory,Thory,Thory,소리,Thory
LastName_12,考纳瓦,Sumomo,考納瓦,Конава,Kōnawa,Kōnawa,Kōnawa,コナワ,Kōnawa,Kōnawa,Kōnawa,Kōnawa,코나와,Kōnawa
