Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
Takanashi,柳迪姆,Takanashi,柳迪姆,Людым,Lyudym,Lyudym,Lyudym,リューディム,Lyudym,Lyudym,Lyudym,Lyudym,류딤,Lyudym
Hoshino,星野,Hoshino,星野,Хошино,Hoshino,Hoshino,Hoshino,ホシノ,Hoshino,Hoshino,Hoshino,Hoshino,호시노,Hoshino
Sunaookami,布拉戈,Sunaookami,布拉戈,Благо,Blago,Blago,Blago,ブラゴ,Blago,Blago,Blago,Blago,블라고,Blago
Shiroko,白子,Shiroko,白子,Широко,Shiroko,Shiroko,Shiroko,シロコ,Shiroko,Shiroko,Shiroko,Shiroko,시로코,Shiroko
Terror,Terror,Terror,Terror,Терор,Terror,Terror,Terror,テロール,Terror,Terror,Terror,Terror,테로,Terror
Kuromi,查特尔斯,Kuromi,查特爾斯,Чаттлз,Chattles,Chattles,Chattles,チャトルズ,Chattles,Chattles,Chattles,Chattles,챠틀스,Chattles
Serika,雪里佳,Serika,雪里佳,Серькина,Serikina,Serikina,Serikina,セルキーナ,Serikina,Serikina,Serikina,Serikina,세르키네,Serikina
Izayoi,佩姆拜,Izayoi,佩姆拜,Пембай,Pembai,Pembai,Pembai,ペンバイ,Pembai,Pembai,Pembai,Pembai,펨바이,Pembai
Nonomi,野猫,Nonomi,野猫,Нонуми,Nonomi,Nonomi,Nonomi,ノノミ,Nonomi,Nonomi,Nonomi,Nonomi,노노미,Nonomi
Okusora,劳德,Okusora,勞德,Лауде,Laude,Laude,Laude,ラウデ,Laude,Laude,Laude,Laude,라우데,Laude
Ayane,彩音,Ayane,彩音,Аяна,Ayane,Ayane,Ayane,アヤネ,Ayane,Ayane,Ayane,Ayane,아야네,Ayane
Kushinashi,駆振,Kushinashi,駆振,Кушинаши,Kushinashi,Kushinashi,Kushinashi,クシナシ,Kushinashi,Kushinashi,Kushinashi,Kushinashi,쿠시나시,Kushinashi
Yume,夢,Yume,夢,Юме,Yume,Yume,Yume,ユメ,Yume,Yume,Yume,Yume,유메,Yume
Nanagami,安根,Nanagami,安根,Анген,Angen,Angen,Angen,アンゲン,Angen,Angen,Angen,Angen,앙겐,Angen
Rin,凛,Rin,凛,Рин,Rin,Rin,Rin,リン,Rin,Rin,Rin,Rin,린,Rin
Yuraki,库巴拉,Yuraki,庫巴拉,Кубара,Kubara,Kubara,Kubara,クバラ,Kubara,Kubara,Kubara,Kubara,쿠바라,Kubara
Momoka,桃花,Momoka,桃花,Момока,Momoka,Momoka,Momoka,モモカ,Momoka,Momoka,Momoka,Momoka,모모카,Momoka
Iwabitsu,杜科夫斯克,Iwabitsu,杜科夫斯克,Дуковск,Doukovsk,Doukovsk,Doukovsk,ドゥコフスク,Doukovsk,Doukovsk,Doukovsk,Doukovsk,두코프스크,Doukovsk
Ayumu,結夢,Ayumu,結夢,Аюму,Ayumu,Ayumu,Ayumu,アユム,Ayumu,Ayumu,Ayumu,Ayumu,아유무,Ayumu
Shiranui,伊万顿,Shiranui,伊萬頓,Ивантон,Ivanton,Ivanton,Ivanton,イヴァントン,Ivanton,Ivanton,Ivanton,Ivanton,이반톤,Ivanton
Kaya,彩,Kaya,彩,Кая,Kaya,Kaya,Kaya,カヤ,Kaya,Kaya,Kaya,Kaya,카야,Kaya
Oki,伊斯洛图西斯,Oki,伊斯洛圖西斯,Ислотусис,Islothusis,Islothusis,Islothusis,イスロトゥシス,Islothusis,Islothusis,Islothusis,Islothusis,이슬로투시스,Islothusis
Aoi,葵,Aoi,葵,アオイ,Aoi,Aoi,Aoi,アオイ,Aoi,Aoi,Aoi,Aoi,아오이,Aoi
Haine,索里,Haine,索里,Сори,Thory,Thory,Thory,ソリー,Thory,Thory,Thory,Thory,소리,Thory
Sumomo,考纳瓦,Sumomo,考納瓦,Конава,Kōnawa,Kōnawa,Kōnawa,コナワ,Kōnawa,Kōnawa,Kōnawa,Kōnawa,코나와,Kōnawa
Tsukiyuki,鲁索,Tsukiyuki,魯索,Руссо,Rousseau,Rousseau,Rousseau,ルソー,Rousseau,Rousseau,Rousseau,Rousseau,루소,Rousseau
BunBun,布朗,Bun Bun,布朗,Блан,Blanc,Blanc,Blanc,ブラン,Blanc,Blanc,Blanc,Blanc,블랑,Blanc
Sorai,福尔蒂埃,Sorai,福爾蒂埃,Фортье,Fortier,Fortier,Fortier,フォルティエ,Fortier,Fortier,Fortier,Fortier,포르티에,Fortier
Kazekura,梅西耶,Kazekura,梅西耶,Мерсье,Mercier,Mercier,Mercier,メルシエ,Mercier,Mercier,Mercier,Mercier,메르시에,Mercier
Kasumizawa,勒格朗,Kasumizawa,勒格朗,Легран,Legrand,Legrand,Legrand,ルグラン,Legrand,Legrand,Legrand,Legrand,르그랑,Legrand
Shichido,富尼耶,Shichido,富尼耶,Фурнье,Fournier,Fournier,Fournier,フルニエ,Fournier,Fournier,Fournier,Fournier,푸르니에,Fournier
Niko,吉拉德,Niko,吉拉德,Жирар,Girard,Girard,Girard,ジラール,Girard,Girard,Girard,Girard,지라르,Girard
Kurumi,勒梅尔,Kurumi,勒梅爾,Лемер,Lemaire,Lemaire,Lemaire,ルメール,Lemaire,Lemaire,Lemaire,Lemaire,르메르,Lemaire
Otogi,佩兰,Otogi,佩蘭,Перрен,Perrin,Perrin,Perrin,ペラン,Perrin,Perrin,Perrin,Perrin,페랭,Perrin
Ogata,德马雷,Ogata,德馬雷,Демаре,Demarais,Demarais,Demarais,ドゥマレ,Demarais,Demarais,Demarais,Demarais,드마레,Demarais
Konoka,拉库尔,Konoka,拉庫爾,Лакур,Lacour,Lacour,Lacour,ラクール,Lacour,Lacour,Lacour,Lacour,라쿠르,Lacour
Nakatsukasa,夏瓦利埃,Nakatsukasa,夏瓦利埃,Шевалье,Chevalier,Chevalier,Chevalier,シュヴァリエ,Chevalier,Chevalier,Chevalier,Chevalier,슈발리에,Chevalier
Nemugaki,博杜安,Nemugaki,博杜安,Бодуэн,Beaudoin,Beaudoin,Beaudoin,ボードワン,Beaudoin,Beaudoin,Beaudoin,Beaudoin,보두앵,Beaudoin
Yukino,雪音,Yukino,雪音,Юкино,Yukino,Yukino,Yukino,ユキノ,Yukino,Yukino,Yukino,Yukino,유키노,Yukino
Haru,春,Haru,春,Хар,Haru,Haru,Haru,ハル,Haru,Haru,Haru,Haru,하루,Haru
Shigure,凪,Shigure,凪,Шигуре,Shigure,Shigure,Shigure,シグレ,Shigure,Shigure,Shigure,Shigure,시구레,Shigure
Shion,紫音,Shion,紫音,シオン,Shion,Shion,Shion,シオン,Shion,Shion,Shion,Shion,시온,Shion
Kazu,風,Kazu,風,カズ,Kazu,Kazu,Kazu,カズ,Kazu,Kazu,Kazu,Kazu,카즈,Kazu
Miku,美空,Miku,美空,ミク,Miku,Miku,Miku,ミク,Miku,Miku,Miku,Miku,미쿠,Miku
Kazuma,風馬,Kazuma,風馬,カズマ,Kazuma,Kazuma,Kazuma,カズマ,Kazuma,Kazuma,Kazuma,Kazuma,카즈마,Kazuma
Yuki,雪,Yuki,雪,ユキ,Yuki,Yuki,Yuki,ユキ,Yuki,Yuki,Yuki,Yuki,유키,Yuki
Aya,彩,Aya,彩,アヤ,Aya,Aya,Aya,アヤ,Aya,Aya,Aya,Aya,아야,Aya
Tachibana,立花,Tachibana,立花,タチバナ,Tachibana,Tachibana,Tachibana,タチバナ,Tachibana,Tachibana,Tachibana,Tachibana,타치바나,Tachibana
