Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
Forezium,福雷兹,Forezium,福雷茲,Форез,Forezium,Forezium,Forezium,フォレジウム,Forezium,Forezium,Forezium,Forezium,포레지움,Forezium
Gascogne,加斯科涅,Gascogne,加斯科涅,Гасконь,Gascogne,Gascogne,Gascogne,ガスコーニュ,Gascogne,Gascogne,Gascogne,Gascogne,가스코뉴,Gascogne
Haguenau,阿格诺,Haguenau,阿格諾,Агено,Haguenau,Haguenau,Haguenau,ハーゲノー,Haguenau,Haguenau,Haguenau,Haguenau,하게노,Haguenau
Innsbruck,因斯布鲁克,Innsbruck,因斯布魯克,Инсбрук,Innsbruck,Innsbruck,Innsbruck,インスブルック,Innsbruck,Innsbruck,Innsbruck,Innsbruck,인스브루크,Innsbruck
Jülichgau,于利希高,Jülichgau,於利希高,Юлихгау,Jülichgau,Jülichgau,Jülichgau,ユリッヒガウ,Jülichgau,Jülichgau,Jülichgau,Jülichgau,율리히가우,Jülichgau
Kyburgian,基堡,Kyburgian,基堡,Кибургский,Kyburgian,Kyburgian,Kyburgian,キブルギアン,Kyburgian,Kyburgian,Kyburgian,Kyburgian,키부르기안,Kyburgian
Laonium,拉翁,Laonium,拉翁,Лаониум,Laonium,Laonium,Laonium,ラオニウム,Laonium,Laonium,Laonium,Laonium,라오니움,Laonium
Mâconnais,马孔,Mâconnais,馬孔,Маконнэ,Mâconnais,Mâconnais,Mâconnais,マコンネ,Mâconnais,Mâconnais,Mâconnais,Mâconnais,마코네,Mâconnais
Namurois,那慕尔,Namurois,那慕爾,Намюруа,Namurois,Namurois,Namurois,ナミュロワ,Namurois,Namurois,Namurois,Namurois,나뮤루아,Namurois
Oberglogau,上格洛高,Oberglogau,上格洛高,Оберглогау,Oberglogau,Oberglogau,Oberglogau,オーバーグローガウ,Oberglogau,Oberglogau,Oberglogau,Oberglogau,오버글로가우,Oberglogau
Ponthieuvry,蓬蒂夫里,Ponthieuvry,蓬蒂夫里,Понтьёври,Ponthieuvry,Ponthieuvry,Ponthieuvry,ポンティーヴリ,Ponthieuvry,Ponthieuvry,Ponthieuvry,Ponthieuvry,퐁티외브리,Ponthieuvry
Quercion,奎尔松,Quercion,奎爾松,Керсион,Quercion,Quercion,Quercion,ケルシオン,Quercion,Quercion,Quercion,Quercion,케르시온,Quercion
Rieneckian,里耶内克,Rieneckian,里耶內克,Риенекский,Rieneckian,Rieneckian,Rieneckian,リーネキアン,Rieneckian,Rieneckian,Rieneckian,Rieneckian,리에넥시안,Rieneckian
Sundgauvian,松德高,Sundgauvian,松德高,Сундгау,Sundgauvian,Sundgauvian,Sundgauvian,スンドガウビアン,Sundgauvian,Sundgauvian,Sundgauvian,Sundgauvian,순드가우비안,Sundgauvian
Tournaisis,图尔奈,Tournaisis,圖爾奈,Турне,Tournaisis,Tournaisis,Tournaisis,トゥルネージス,Tournaisis,Tournaisis,Tournaisis,Tournaisis,투르네이시스,Tournaisis
Ukkermark,乌克马克,Ukkermark,烏克馬克,Уккермарк,Ukkermark,Ukkermark,Ukkermark,ウッケルマルク,Ukkermark,Ukkermark,Ukkermark,Ukkermark,우케르마르크,Ukkermark
Vaudémont,沃代蒙,Vaudémont,沃代蒙,Водемон,Vaudémont,Vaudémont,Vaudémont,ヴォードモン,Vaudémont,Vaudémont,Vaudémont,Vaudémont,보데몽,Vaudémont
Werdenfelser,威尔登费尔泽,Werdenfelser,威爾登費爾澤,Верденфельзер,Werdenfelser,Werdenfelser,Werdenfelser,ヴェルデンフェルザー,Werdenfelser,Werdenfelser,Werdenfelser,Werdenfelser,베르덴펠저,Werdenfelser
Xaintongeais,桑通热,Xaintongeais,桑通熱,Сантонже,Xaintongeais,Xaintongeais,Xaintongeais,ザントンジェ,Xaintongeais,Xaintongeais,Xaintongeais,Xaintongeais,상통제,Xaintongeais
Yvelines,伊夫林,Yvelines,伊夫林,Ивелин,Yvelines,Yvelines,Yvelines,イヴリーヌ,Yvelines,Yvelines,Yvelines,Yvelines,이블린,Yvelines
Zweibrücken,茨韦布吕肯,Zweibrücken,茨韋布呂肯,Цвайбрюккен,Zweibrücken,Zweibrücken,Zweibrücken,ツヴァイブリュッケン,Zweibrücken,Zweibrücken,Zweibrücken,Zweibrücken,츠바이브뤼켄,Zweibrücken
