Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
FemaleName_1,日奈,Hina,日奈,Хина,Hina,Hina,Hina,ヒナ,Hina,Hina,Hina,Hina,히나,Hina
FemaleName_2,阿子,Ako,阿子,Ако,Ako,Ako,Ako,アコ,Ako,Ako,Ako,Ako,아코,Ako
FemaleName_3,伊织,Iori,伊織,Иори,Iori,Iori,Iori,イオリ,Iori,Iori,Iori,Iori,이오리,Iori
FemaleName_4,千夏,Chinatsu,千夏,Чинацу,Chinatsu,Chinatsu,Chinatsu,チナツ,Chinatsu,Chinatsu,Chinatsu,Chinatsu,치나츠,Chinatsu
FemaleName_5,阿露,Aru,阿露,Ару,Aru,Aru,Aru,アル,Aru,Aru,Aru,Aru,아루,Aru
FemaleName_6,睦月,Mutsuki,睦月,Муцуки,Mutsuki,Mutsuki,Mutsuki,ムツキ,Mutsuki,Mutsuki,Mutsuki,Mutsuki,무츠키,Mutsuki
FemaleName_7,佳代子,Kayoko,佳代子,Каёко,Kayoko,Kayoko,Kayoko,カヨコ,Kayoko,Kayoko,Kayoko,Kayoko,카요코,Kayoko
FemaleName_8,春香,Haruka,春香,Харука,Haruka,Haruka,Haruka,ハルカ,Haruka,Haruka,Haruka,Haruka,하루카,Haruka
FemaleName_9,真琴,Makoto,真琴,Макото,Makoto,Makoto,Makoto,マコト,Makoto,Makoto,Makoto,Makoto,마코토,Makoto
FemaleName_10,伊吹,Ibuki,伊吹,Ибуки,Ibuki,Ibuki,Ibuki,イブキ,Ibuki,Ibuki,Ibuki,Ibuki,이부키,Ibuki
FemaleName_11,瞬,Shun,瞬,Сюн,Shun,Shun,Shun,シュン,Shun,Shun,Shun,Shun,슌,Shun
FemaleName_12,伊月娜,Izuna,伊月娜,Изуна,Izuna,Izuna,Izuna,イズナ,Izuna,Izuna,Izuna,Izuna,이즈나,Izuna
FemaleName_13,千濑,Chise,千瀨,Чисэ,Chise,Chise,Chise,チセ,Chise,Chise,Chise,Chise,치세,Chise
FemaleName_14,夏,Natsu,夏,Нацу,Natsu,Natsu,Natsu,ナツ,Natsu,Natsu,Natsu,Natsu,나츠,Natsu
FemaleName_15,纯子,Junko,純子,Джюнко,Junko,Junko,Junko,ジュンコ,Junko,Junko,Junko,Junko,준코,Junko
FemaleName_16,玛丽娜,Marina,瑪麗娜,Марина,Marina,Marina,Marina,マリナ,Marina,Marina,Marina,Marina,마리나,Marina
FemaleName_17,音瑠,Neru,音瑠,Нэру,Neru,Neru,Neru,ネル,Neru,Neru,Neru,Neru,네루,Neru
FemaleName_18,姬茉莉,Himari,姬茉莉,Химари,Himari,Himari,Himari,ヒマリ,Himari,Himari,Himari,Himari,히마리,Himari
FemaleName_19,若藻,Wakamo,若藻,Вакамо,Wakamo,Wakamo,Wakamo,ワカモ,Wakamo,Wakamo,Wakamo,Wakamo,와카모,Wakamo
FemaleName_20,咲,Satsuki,咲,Сацуки,Satsuki,Satsuki,Satsuki,サツキ,Satsuki,Satsuki,Satsuki,Satsuki,사츠키,Satsuki
FemaleName_21,真白,Mashiro,真白,Маширо,Mashiro,Mashiro,Mashiro,マシロ,Mashiro,Mashiro,Mashiro,Mashiro,마시로,Mashiro
FemaleName_22,椿,Tsubaki,椿,Цубаки,Tsubaki,Tsubaki,Tsubaki,ツバキ,Tsubaki,Tsubaki,Tsubaki,Tsubaki,츠바키,Tsubaki
FemaleName_23,切里诺,Cherino,切里諾,Черино,Cherino,Cherino,Cherino,チェリノ,Cherino,Cherino,Cherino,Cherino,체리노,Cherino
FemaleName_24,海香,Umika,海香,Умика,Umika,Umika,Umika,ウミカ,Umika,Umika,Umika,Umika,우미카,Umika
FemaleName_25,明日奈,Asuna,明日奈,Асуна,Asuna,Asuna,Asuna,アスナ,Asuna,Asuna,Asuna,Asuna,아스나,Asuna
FemaleName_26,佳奈,Karin,佳奈,Карин,Karin,Karin,Karin,カリン,Karin,Karin,Karin,Karin,카린,Karin
FemaleName_27,芹香,Serika,芹香,Серика,Serika,Serika,Serika,セリカ,Serika,Serika,Serika,Serika,세리카,Serika
FemaleName_28,晴奈,Haruna,晴奈,Харуна,Haruna,Haruna,Haruna,ハルナ,Haruna,Haruna,Haruna,Haruna,하루나,Haruna
FemaleName_29,枫,Kaede,楓,Каэдэ,Kaede,Kaede,Kaede,カエデ,Kaede,Kaede,Kaede,Kaede,카에데,Kaede
FemaleName_30,桃,Momo,桃,Момо,Momo,Momo,Momo,モモ,Momo,Momo,Momo,Momo,모모,Momo
FemaleName_31,纱绫,Saya,紗綾,Сая,Saya,Saya,Saya,サヤ,Saya,Saya,Saya,Saya,사야,Saya
FemaleName_32,花子,Hanako,花子,Ханако,Hanako,Hanako,Hanako,ハナコ,Hanako,Hanako,Hanako,Hanako,하나코,Hanako
FemaleName_33,朱音,Akane,朱音,Акане,Akane,Akane,Akane,アカネ,Akane,Akane,Akane,Akane,아카네,Akane
FemaleName_34,响,Hibiki,響,Хибики,Hibiki,Hibiki,Hibiki,ヒビキ,Hibiki,Hibiki,Hibiki,Hibiki,히비키,Hibiki
FemaleName_35,切里,Chieri,切里,Чиэри,Chieri,Chieri,Chieri,チエリ,Chieri,Chieri,Chieri,Chieri,치에리,Chieri
