Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
LastName_1,空崎,Sorasaki,空崎,Сорасаки,Sorasaki,Sorasaki,Sorasaki,ソラサキ,Sorasaki,Sorasaki,Sorasaki,Sorasaki,소라사키,Sorasaki
LastName_2,天雨,Amau,天雨,Амау,Amau,Amau,Amau,アマウ,Amau,Amau,Amau,Amau,아마우,Amau
LastName_3,白洲,Shirasu,白洲,Сирасу,Shirasu,Shirasu,Shirasu,シラス,Shirasu,Shirasu,Shirasu,Shirasu,시라스,Shirasu
LastName_4,角楯,Kakudate,角楯,Какудатэ,Kakudate,Kakudate,Kakudate,カクダテ,Kakudate,Kakudate,Kakudate,Kakudate,카쿠다테,Kakudate
LastName_5,陸八魔,Rikuhachima,陸八魔,Рикухачима,Rikuhachima,Rikuhachima,Rikuhachima,リクハチマ,Rikuhachima,Rikuhachima,Rikuhachima,Rikuhachima,리쿠하치마,Rikuhachima
LastName_6,浅木,Asagi,淺木,Асаги,Asagi,Asagi,Asagi,アサギ,Asagi,Asagi,Asagi,Asagi,아사기,Asagi
LastName_7,鬼方,Onikata,鬼方,Оникато,Onikata,Onikata,Onikata,オニカタ,Onikata,Onikata,Onikata,Onikata,오니카타,Onikata
LastName_8,伊草,Igusa,伊草,Игуса,Igusa,Igusa,Igusa,イグサ,Igusa,Igusa,Igusa,Igusa,이구사,Igusa
LastName_9,八狩,Hakkari,八狩,Хаккари,Hakkari,Hakkari,Hakkari,ハッカリ,Hakkari,Hakkari,Hakkari,Hakkari,핫카리,Hakkari
LastName_10,矢吹,Yabuki,矢吹,Ябуки,Yabuki,Yabuki,Yabuki,ヤブキ,Yabuki,Yabuki,Yabuki,Yabuki,야부키,Yabuki
LastName_11,一之瀬,Ichinose,一之瀨,Итиносэ,Ichinose,Ichinose,Ichinose,イチノセ,Ichinose,Ichinose,Ichinose,Ichinose,이치노세,Ichinose
LastName_12,久田,Kuda,久田,Куда,Kuda,Kuda,Kuda,クダ,Kuda,Kuda,Kuda,Kuda,쿠다,Kuda
LastName_13,百合园,Yurizono,百合園,Юридзоно,Yurizono,Yurizono,Yurizono,ユリゾノ,Yurizono,Yurizono,Yurizono,Yurizono,유리조노,Yurizono
LastName_14,阿慈谷,Ajitani,阿慈谷,Адзитани,Ajitani,Ajitani,Ajitani,アジタニ,Ajitani,Ajitani,Ajitani,Ajitani,아지타니,Ajitani
LastName_15,黑崎,Kurosaki,黑崎,Куросаки,Kurosaki,Kurosaki,Kurosaki,クロサキ,Kurosaki,Kurosaki,Kurosaki,Kurosaki,쿠로사키,Kurosaki
LastName_16,剑,Tsurugi,劍,Цуруги,Tsurugi,Tsurugi,Tsurugi,ツルギ,Tsurugi,Tsurugi,Tsurugi,Tsurugi,츠루기,Tsurugi
LastName_17,三鸭,Mikamo,三鴨,Микамо,Mikamo,Mikamo,Mikamo,ミカモ,Mikamo,Mikamo,Mikamo,Mikamo,미카모,Mikamo
LastName_18,明星,Akeboshi,明星,Акэбоси,Akeboshi,Akeboshi,Akeboshi,アケボシ,Akeboshi,Akeboshi,Akeboshi,Akeboshi,아케보시,Akeboshi
LastName_19,小坂,Kosaka,小坂,Косака,Kosaka,Kosaka,Kosaka,コサカ,Kosaka,Kosaka,Kosaka,Kosaka,코사카,Kosaka
LastName_20,室笠,Murokasa,室笠,Мурокаса,Murokasa,Murokasa,Murokasa,ムロカサ,Murokasa,Murokasa,Murokasa,Murokasa,무로카사,Murokasa
LastName_21,白雪,Shirayuki,白雪,Сираюки,Shirayuki,Shirayuki,Shirayuki,シラユキ,Shirayuki,Shirayuki,Shirayuki,Shirayuki,시라유키,Shirayuki
LastName_22,霞泽,Kasumizawa,霞澤,Касумидзава,Kasumizawa,Kasumizawa,Kasumizawa,カスミザワ,Kasumizawa,Kasumizawa,Kasumizawa,Kasumizawa,카스미자와,Kasumizawa
LastName_23,天童,Tendou,天童,Тендо,Tendou,Tendou,Tendou,テンドウ,Tendou,Tendou,Tendou,Tendou,텐도,Tendou
LastName_24,一花,Ichika,一花,Итика,Ichika,Ichika,Ichika,イチカ,Ichika,Ichika,Ichika,Ichika,이치카,Ichika
LastName_25,角楯,Kakudate,角楯,Какудатэ,Kakudate,Kakudate,Kakudate,カクダテ,Kakudate,Kakudate,Kakudate,Kakudate,카쿠다테,Kakudate
LastName_26,角谷,Sumiya,角谷,Сумия,Sumiya,Sumiya,Sumiya,スミヤ,Sumiya,Sumiya,Sumiya,Sumiya,스미야,Sumiya
LastName_27,黑见,Kuromi,黑見,Куроми,Kuromi,Kuromi,Kuromi,クロミ,Kuromi,Kuromi,Kuromi,Kuromi,쿠로미,Kuromi
LastName_28,猫冢,Nekotsuka,貓塚,Нэкоцука,Nekotsuka,Nekotsuka,Nekotsuka,ネコツカ,Nekotsuka,Nekotsuka,Nekotsuka,Nekotsuka,네코츠카,Nekotsuka
LastName_29,藤见,Fujimi,藤見,Фудзими,Fujimi,Fujimi,Fujimi,フジミ,Fujimi,Fujimi,Fujimi,Fujimi,후지미,Fujimi
LastName_30,狮子堂,Shishidou,獅子堂,Сисидо,Shishidou,Shishidou,Shishidou,シシドウ,Shishidou,Shishidou,Shishidou,Shishidou,시시도,Shishidou
