Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
FemaleName_1,桐藤,Kirifuji,桐藤,Кирифудзи,Kirifuji,Kirifuji,Kirifuji,キリフジ,Kirifuji,Kirifuji,Kirifuji,Kirifuji,키리후지,Kirifuji
FemaleName_2,桃香,Momoka,桃香,Момока,Momoka,Momoka,Momoka,モモカ,Momoka,Momoka,Momoka,Momoka,모모카,Momoka
FemaleName_3,琳,Rin,琳,Рин,Rin,Rin,Rin,リン,Rin,Rin,Rin,Rin,린,Rin
FemaleName_4,花凛,Karin,花凜,Карин,Karin,Karin,Karin,カリン,Karin,Karin,Karin,Karin,카린,Karin
FemaleName_5,明日奈,Asuna,明日奈,Асуна,Asuna,Asuna,Asuna,アスナ,Asuna,Asuna,Asuna,Asuna,아스나,Asuna
FemaleName_6,茜,Akane,茜,Акане,Akane,Akane,Akane,アカネ,Akane,Akane,Akane,Akane,아카네,Akane
FemaleName_7,晴奈,Haruna,晴奈,Харуна,Haruna,Haruna,Haruna,ハルナ,Haruna,Haruna,Haruna,Haruna,하루나,Haruna
FemaleName_8,芹奈,Serina,芹奈,Серина,Serina,Serina,Serina,セリナ,Serina,Serina,Serina,Serina,세리나,Serina
FemaleName_9,桐乃,Kirino,桐乃,Кирино,Kirino,Kirino,Kirino,キリノ,Kirino,Kirino,Kirino,Kirino,키리노,Kirino
FemaleName_10,弥生,Yayoi,彌生,Яёи,Yayoi,Yayoi,Yayoi,ヤヨイ,Yayoi,Yayoi,Yayoi,Yayoi,야요이,Yayoi
FemaleName_11,纱织,Saori,紗織,Саори,Saori,Saori,Saori,サオリ,Saori,Saori,Saori,Saori,사오리,Saori
FemaleName_12,优香,Yuuka,優香,Юука,Yuuka,Yuuka,Yuuka,ユウカ,Yuuka,Yuuka,Yuuka,Yuuka,유카,Yuuka
FemaleName_13,诺亚,Noa,諾亞,Ноа,Noa,Noa,Noa,ノア,Noa,Noa,Noa,Noa,노아,Noa
FemaleName_14,未来,Miku,未來,Мику,Miku,Miku,Miku,ミク,Miku,Miku,Miku,Miku,미쿠,Miku
FemaleName_15,艾米,Emi,艾米,Эми,Emi,Emi,Emi,エミ,Emi,Emi,Emi,Emi,에미,Emi
FemaleName_16,丽娜,Rina,麗娜,Рина,Rina,Rina,Rina,リナ,Rina,Rina,Rina,Rina,리나,Rina
FemaleName_17,美咲,Misaki,美咲,Мисаки,Misaki,Misaki,Misaki,ミサキ,Misaki,Misaki,Misaki,Misaki,미사키,Misaki
FemaleName_18,千夏,Chinatsu,千夏,Чинацу,Chinatsu,Chinatsu,Chinatsu,チナツ,Chinatsu,Chinatsu,Chinatsu,Chinatsu,치나츠,Chinatsu
FemaleName_19,瑞希,Mizuki,瑞希,Мидзуки,Mizuki,Mizuki,Mizuki,ミズキ,Mizuki,Mizuki,Mizuki,Mizuki,미즈키,Mizuki
FemaleName_20,绫,Aya,綾,Ая,Aya,Aya,Aya,アヤ,Aya,Aya,Aya,Aya,아야,Aya
FemaleName_21,真央,Mao,真央,Мао,Mao,Mao,Mao,マオ,Mao,Mao,Mao,Mao,마오,Mao
FemaleName_22,由衣,Yui,由衣,Юи,Yui,Yui,Yui,ユイ,Yui,Yui,Yui,Yui,유이,Yui
FemaleName_23,沙耶,Saya,紗耶,Сая,Saya,Saya,Saya,サヤ,Saya,Saya,Saya,Saya,사야,Saya
FemaleName_24,雫,Shizuku,雫,Сидзуку,Shizuku,Shizuku,Shizuku,シズク,Shizuku,Shizuku,Shizuku,Shizuku,시즈쿠,Shizuku
FemaleName_25,千寻,Chihiro,千尋,Чихиро,Chihiro,Chihiro,Chihiro,チヒロ,Chihiro,Chihiro,Chihiro,Chihiro,치히로,Chihiro
FemaleName_26,奏,Kanade,奏,Канадэ,Kanade,Kanade,Kanade,カナデ,Kanade,Kanade,Kanade,Kanade,카나데,Kanade
FemaleName_27,莉子,Riko,莉子,Рико,Riko,Riko,Riko,リコ,Riko,Riko,Riko,Riko,리코,Riko
FemaleName_28,凛,Rin,凜,Рин,Rin,Rin,Rin,リン,Rin,Rin,Rin,Rin,린,Rin
FemaleName_29,结衣,Yui,結衣,Юи,Yui,Yui,Yui,ユイ,Yui,Yui,Yui,Yui,유이,Yui
FemaleName_30,千代,Chiyo,千代,Тиё,Chiyo,Chiyo,Chiyo,チヨ,Chiyo,Chiyo,Chiyo,Chiyo,치요,Chiyo
FemaleName_31,莉莉,Lily,莉莉,Лили,Lily,Lily,Lily,リリー,Lily,Lily,Lily,Lily,릴리,Lily
FemaleName_32,优奈,Yuna,優奈,Юна,Yuna,Yuna,Yuna,ユナ,Yuna,Yuna,Yuna,Yuna,유나,Yuna
FemaleName_33,惠,Megumi,惠,Мэгуми,Megumi,Megumi,Megumi,メグミ,Megumi,Megumi,Megumi,Megumi,메구미,Megumi
FemaleName_34,瑠奈,Runa,瑠奈,Руна,Runa,Runa,Runa,ルナ,Runa,Runa,Runa,Runa,루나,Runa
FemaleName_35,纱夜,Sayo,紗夜,Саё,Sayo,Sayo,Sayo,サヨ,Sayo,Sayo,Sayo,Sayo,사요,Sayo
