Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
LastName_1,角楯,Kakudate,角楯,Какудатэ,Kakudate,Kakudate,Kakudate,カクダテ,Kakudate,Kakudate,Kakudate,Kakudate,카쿠다테,Kakudate
LastName_2,猫冢,Nekotsuka,貓塚,Нэкоцука,Nekotsuka,Nekotsuka,Nekotsuka,ネコツカ,Nekotsuka,Nekotsuka,Nekotsuka,Nekotsuka,네코츠카,Nekotsuka
LastName_3,室笠,Murokasa,室笠,Мурокаса,Murokasa,Murokasa,Murokasa,ムロカサ,Murokasa,Murokasa,Murokasa,Murokasa,무로카사,Murokasa
LastName_4,桐生,Kiryu,桐生,Кирю,Kiryu,Kiryu,Kiryu,キリュウ,Kiryu,Kiryu,Kiryu,Kiryu,키류,Kiryu
LastName_5,桐藤,Kirifuji,桐藤,Кирифудзи,Kirifuji,Kirifuji,Kirifuji,キリフジ,Kirifuji,Kirifuji,Kirifuji,Kirifuji,키리후지,Kirifuji
LastName_6,天童,Tendou,天童,Тендо,Tendou,Tendou,Tendou,テンドウ,Tendou,Tendou,Tendou,Tendou,텐도,Tendou
LastName_7,佐藤,Satou,佐藤,Сато,Satou,Satou,Satou,サトウ,Satou,Satou,Satou,Satou,사토,Satou
LastName_8,铃木,Suzuki,鈴木,Судзуки,Suzuki,Suzuki,Suzuki,スズキ,Suzuki,Suzuki,Suzuki,Suzuki,스즈키,Suzuki
LastName_9,高桥,Takahashi,高橋,Такахаси,Takahashi,Takahashi,Takahashi,タカハシ,Takahashi,Takahashi,Takahashi,Takahashi,타카하시,Takahashi
LastName_10,田中,Tanaka,田中,Танака,Tanaka,Tanaka,Tanaka,タナカ,Tanaka,Tanaka,Tanaka,Tanaka,타나카,Tanaka
LastName_11,伊藤,Itou,伊藤,Ито,Itou,Itou,Itou,イトウ,Itou,Itou,Itou,Itou,이토,Itou
LastName_12,渡边,Watanabe,渡邊,Ватанабэ,Watanabe,Watanabe,Watanabe,ワタナベ,Watanabe,Watanabe,Watanabe,Watanabe,와타나베,Watanabe
LastName_13,山本,Yamamoto,山本,Ямамото,Yamamoto,Yamamoto,Yamamoto,ヤマモト,Yamamoto,Yamamoto,Yamamoto,Yamamoto,야마모토,Yamamoto
LastName_14,中村,Nakamura,中村,Накамура,Nakamura,Nakamura,Nakamura,ナカムラ,Nakamura,Nakamura,Nakamura,Nakamura,나카무라,Nakamura
LastName_15,小林,Kobayashi,小林,Кобаяси,Kobayashi,Kobayashi,Kobayashi,コバヤシ,Kobayashi,Kobayashi,Kobayashi,Kobayashi,코바야시,Kobayashi
LastName_16,加藤,Katou,加藤,Като,Katou,Katou,Katou,カトウ,Katou,Katou,Katou,Katou,카토,Katou
LastName_17,吉田,Yoshida,吉田,Йосида,Yoshida,Yoshida,Yoshida,ヨシダ,Yoshida,Yoshida,Yoshida,Yoshida,요시다,Yoshida
LastName_18,山田,Yamada,山田,Ямада,Yamada,Yamada,Yamada,ヤマダ,Yamada,Yamada,Yamada,Yamada,야마다,Yamada
LastName_19,佐佐木,Sasaki,佐佐木,Сасаки,Sasaki,Sasaki,Sasaki,ササキ,Sasaki,Sasaki,Sasaki,Sasaki,사사키,Sasaki
LastName_20,山口,Yamaguchi,山口,Ямагути,Yamaguchi,Yamaguchi,Yamaguchi,ヤマグチ,Yamaguchi,Yamaguchi,Yamaguchi,Yamaguchi,야마구치,Yamaguchi
LastName_21,松本,Matsumoto,松本,Мацумото,Matsumoto,Matsumoto,Matsumoto,マツモト,Matsumoto,Matsumoto,Matsumoto,Matsumoto,마츠모토,Matsumoto
LastName_22,井上,Inoue,井上,Иноуэ,Inoue,Inoue,Inoue,イノウエ,Inoue,Inoue,Inoue,Inoue,이노우에,Inoue
LastName_23,木村,Kimura,木村,Кимура,Kimura,Kimura,Kimura,キムラ,Kimura,Kimura,Kimura,Kimura,키무라,Kimura
LastName_24,林,Hayashi,林,Хаяси,Hayashi,Hayashi,Hayashi,ハヤシ,Hayashi,Hayashi,Hayashi,Hayashi,하야시,Hayashi
LastName_25,斋藤,Saitou,齋藤,Сайто,Saitou,Saitou,Saitou,サイトウ,Saitou,Saitou,Saitou,Saitou,사이토,Saitou
LastName_26,清水,Shimizu,清水,Симидзу,Shimizu,Shimizu,Shimizu,シミズ,Shimizu,Shimizu,Shimizu,Shimizu,시미즈,Shimizu
LastName_27,山崎,Yamazaki,山崎,Ямадзаки,Yamazaki,Yamazaki,Yamazaki,ヤマザキ,Yamazaki,Yamazaki,Yamazaki,Yamazaki,야마자키,Yamazaki
LastName_28,森,Mori,森,Мори,Mori,Mori,Mori,モリ,Mori,Mori,Mori,Mori,모리,Mori
LastName_29,阿部,Abe,阿部,Абэ,Abe,Abe,Abe,アベ,Abe,Abe,Abe,Abe,아베,Abe
LastName_30,池田,Ikeda,池田,Икэда,Ikeda,Ikeda,Ikeda,イケダ,Ikeda,Ikeda,Ikeda,Ikeda,이케다,Ikeda
