Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
FemaleName_1,月夜,Tsukuyo,月夜,Цукуё,Tsukuyo,Tsukuyo,Tsukuyo,ツクヨ,Tsukuyo,Tsukuyo,Tsukuyo,Tsukuyo,츠쿠요,Tsukuyo
FemaleName_2,静子,Shizuko,靜子,Сидзуко,Shizuko,Shizuko,Shizuko,シズコ,Shizuko,Shizuko,Shizuko,Shizuko,시즈코,Shizuko
FemaleName_3,心夏,Kokona,心夏,Кокона,Kokona,Kokona,Kokona,ココナ,Kokona,Kokona,Kokona,Kokona,코코나,Kokona
FemaleName_4,都,Miyako,都,Мияко,Miyako,Miyako,Miyako,ミヤコ,Miyako,Miyako,Miyako,Miyako,미야코,Miyako
FemaleName_5,咲,Saki,咲,Саки,Saki,Saki,Saki,サキ,Saki,Saki,Saki,Saki,사키,Saki
FemaleName_6,美游,Miyu,美遊,Мию,Miyu,Miyu,Miyu,ミユ,Miyu,Miyu,Miyu,Miyu,미유,Miyu
FemaleName_7,萌绘,Moe,萌繪,Моэ,Moe,Moe,Moe,モエ,Moe,Moe,Moe,Moe,모에,Moe
FemaleName_8,绿,Midori,綠,Мидори,Midori,Midori,Midori,ミドリ,Midori,Midori,Midori,Midori,미도리,Midori
FemaleName_9,桃井,Momoi,桃井,Момои,Momoi,Momoi,Momoi,モモイ,Momoi,Momoi,Momoi,Momoi,모모이,Momoi
FemaleName_10,未花,Mika,未花,Мика,Mika,Mika,Mika,ミカ,Mika,Mika,Mika,Mika,미카,Mika
FemaleName_11,小春,Koharu,小春,Кохару,Koharu,Koharu,Koharu,コハル,Koharu,Koharu,Koharu,Koharu,코하루,Koharu
FemaleName_12,咲樱,Sakura,咲櫻,Сакура,Sakura,Sakura,Sakura,サクラ,Sakura,Sakura,Sakura,Sakura,사쿠라,Sakura
FemaleName_13,霞,Kasumi,霞,Касуми,Kasumi,Kasumi,Kasumi,カスミ,Kasumi,Kasumi,Kasumi,Kasumi,카스미,Kasumi
FemaleName_14,铃,Rin,鈴,Рин,Rin,Rin,Rin,リン,Rin,Rin,Rin,Rin,린,Rin
FemaleName_15,雫,Shizuku,雫,Сидзуку,Shizuku,Shizuku,Shizuku,シズク,Shizuku,Shizuku,Shizuku,Shizuku,시즈쿠,Shizuku
FemaleName_16,柚子,Yuzu,柚子,Юдзу,Yuzu,Yuzu,Yuzu,ユズ,Yuzu,Yuzu,Yuzu,Yuzu,유즈,Yuzu
FemaleName_17,枫花,Fuuka,楓花,Фуука,Fuuka,Fuuka,Fuuka,フウカ,Fuuka,Fuuka,Fuuka,Fuuka,후카,Fuuka
FemaleName_18,菫,Sumire,菫,Сумирэ,Sumire,Sumire,Sumire,スミレ,Sumire,Sumire,Sumire,Sumire,스미레,Sumire
FemaleName_19,雪乃,Yukino,雪乃,Юкино,Yukino,Yukino,Yukino,ユキノ,Yukino,Yukino,Yukino,Yukino,유키노,Yukino
FemaleName_20,鹤,Tsuru,鶴,Цуру,Tsuru,Tsuru,Tsuru,ツル,Tsuru,Tsuru,Tsuru,Tsuru,츠루,Tsuru
FemaleName_21,雏,Hina,雛,Хина,Hina,Hina,Hina,ヒナ,Hina,Hina,Hina,Hina,히나,Hina
FemaleName_22,千鹤,Chizuru,千鶴,Тидзуру,Chizuru,Chizuru,Chizuru,チヅル,Chizuru,Chizuru,Chizuru,Chizuru,치즈루,Chizuru
FemaleName_23,忍,Shinobu,忍,Синобу,Shinobu,Shinobu,Shinobu,シノブ,Shinobu,Shinobu,Shinobu,Shinobu,시노부,Shinobu
FemaleName_24,小梅,Koume,小梅,Коумэ,Koume,Koume,Koume,コウメ,Koume,Koume,Koume,Koume,코우메,Koume
FemaleName_25,菖蒲,Ayame,菖蒲,Аямэ,Ayame,Ayame,Ayame,アヤメ,Ayame,Ayame,Ayame,Ayame,아야메,Ayame
FemaleName_26,雅,Miyabi,雅,Мияби,Miyabi,Miyabi,Miyabi,ミヤビ,Miyabi,Miyabi,Miyabi,Miyabi,미야비,Miyabi
FemaleName_27,铃音,Suzune,鈴音,Судзунэ,Suzune,Suzune,Suzune,スズネ,Suzune,Suzune,Suzune,Suzune,스즈네,Suzune
FemaleName_28,紫,Yukari,紫,Юкари,Yukari,Yukari,Yukari,ユカリ,Yukari,Yukari,Yukari,Yukari,유카리,Yukari
FemaleName_29,琴,Koto,琴,Кото,Koto,Koto,Koto,コト,Koto,Koto,Koto,Koto,코토,Koto
FemaleName_30,桔梗,Kikyou,桔梗,Кикё,Kikyou,Kikyou,Kikyou,キキョウ,Kikyou,Kikyou,Kikyou,Kikyou,키쿄,Kikyou
FemaleName_31,牡丹,Botan,牡丹,Ботан,Botan,Botan,Botan,ボタン,Botan,Botan,Botan,Botan,보탄,Botan
FemaleName_32,小雪,Koyuki,小雪,Коюки,Koyuki,Koyuki,Koyuki,コユキ,Koyuki,Koyuki,Koyuki,Koyuki,코유키,Koyuki
FemaleName_33,梓,Azusa,梓,Адзуса,Azusa,Azusa,Azusa,アズサ,Azusa,Azusa,Azusa,Azusa,아즈사,Azusa
FemaleName_34,胡桃,Kurumi,胡桃,Куруми,Kurumi,Kurumi,Kurumi,クルミ,Kurumi,Kurumi,Kurumi,Kurumi,쿠루미,Kurumi
FemaleName_35,桐,Kiri,桐,Кири,Kiri,Kiri,Kiri,キリ,Kiri,Kiri,Kiri,Kiri,키리,Kiri
