Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
LastName_1,大月,Ootsuki,大月,Оцуки,Ootsuki,Ootsuki,Ootsuki,オオツキ,Ootsuki,Ootsuki,Ootsuki,Ootsuki,오츠키,Ootsuki
LastName_2,河和,Kawawa,河和,Кавава,Kawawa,Kawawa,Kawawa,カワワ,Kawawa,Kawawa,Kawawa,Kawawa,카와와,Kawawa
LastName_3,朝仓,Asakura,朝倉,Асакура,Asakura,Asakura,Asakura,アサクラ,Asakura,Asakura,Asakura,Asakura,아사쿠라,Asakura
LastName_4,月雪,Tsukiyuki,月雪,Цукиюки,Tsukiyuki,Tsukiyuki,Tsukiyuki,ツキユキ,Tsukiyuki,Tsukiyuki,Tsukiyuki,Tsukiyuki,츠키유키,Tsukiyuki
LastName_5,牧,Maki,牧,Маки,Maki,Maki,Maki,マキ,Maki,Maki,Maki,Maki,마키,Maki
LastName_6,春日,Kasuga,春日,Касуга,Kasuga,Kasuga,Kasuga,カスガ,Kasuga,Kasuga,Kasuga,Kasuga,카스가,Kasuga
LastName_7,花小路,Kadenokouji,花小路,Кадэнокодзи,Kadenokouji,Kadenokouji,Kadenokouji,カデノコウジ,Kadenokouji,Kadenokouji,Kadenokouji,Kadenokouji,카데노코지,Kadenokouji
LastName_8,樱木,Sakuragi,櫻木,Сакураги,Sakuragi,Sakuragi,Sakuragi,サクラギ,Sakuragi,Sakuragi,Sakuragi,Sakuragi,사쿠라기,Sakuragi
LastName_9,藤原,Fujiwara,藤原,Фудзивара,Fujiwara,Fujiwara,Fujiwara,フジワラ,Fujiwara,Fujiwara,Fujiwara,Fujiwara,후지와라,Fujiwara
LastName_10,橘,Tachibana,橘,Татибана,Tachibana,Tachibana,Tachibana,タチバナ,Tachibana,Tachibana,Tachibana,Tachibana,타치바나,Tachibana
LastName_11,桐生,Kiryuu,桐生,Кирю,Kiryuu,Kiryuu,Kiryuu,キリュウ,Kiryuu,Kiryuu,Kiryuu,Kiryuu,키류,Kiryuu
LastName_12,神宫寺,Jinguuji,神宮寺,Дзингудзи,Jinguuji,Jinguuji,Jinguuji,ジングウジ,Jinguuji,Jinguuji,Jinguuji,Jinguuji,진구지,Jinguuji
LastName_13,天城,Amagi,天城,Амаги,Amagi,Amagi,Amagi,アマギ,Amagi,Amagi,Amagi,Amagi,아마기,Amagi
LastName_14,鹤见,Tsurumi,鶴見,Цуруми,Tsurumi,Tsurumi,Tsurumi,ツルミ,Tsurumi,Tsurumi,Tsurumi,Tsurumi,츠루미,Tsurumi
LastName_15,雪村,Yukimura,雪村,Юкимура,Yukimura,Yukimura,Yukimura,ユキムラ,Yukimura,Yukimura,Yukimura,Yukimura,유키무라,Yukimura
LastName_16,百合,Yuri,百合,Юри,Yuri,Yuri,Yuri,ユリ,Yuri,Yuri,Yuri,Yuri,유리,Yuri
LastName_17,风间,Kazama,風間,Кадзама,Kazama,Kazama,Kazama,カザマ,Kazama,Kazama,Kazama,Kazama,카자마,Kazama
LastName_18,日向,Hinata,日向,Хината,Hinata,Hinata,Hinata,ヒナタ,Hinata,Hinata,Hinata,Hinata,히나타,Hinata
LastName_19,月宫,Tsukimiya,月宮,Цукимия,Tsukimiya,Tsukimiya,Tsukimiya,ツキミヤ,Tsukimiya,Tsukimiya,Tsukimiya,Tsukimiya,츠키미야,Tsukimiya
LastName_20,七海,Nanami,七海,Нанами,Nanami,Nanami,Nanami,ナナミ,Nanami,Nanami,Nanami,Nanami,나나미,Nanami
LastName_21,御门,Mikado,御門,Микадо,Mikado,Mikado,Mikado,ミカド,Mikado,Mikado,Mikado,Mikado,미카도,Mikado
LastName_22,神代,Kamishiro,神代,Камиширо,Kamishiro,Kamishiro,Kamishiro,カミシロ,Kamishiro,Kamishiro,Kamishiro,Kamishiro,카미시로,Kamishiro
LastName_23,千本,Senbon,千本,Сэмбон,Senbon,Senbon,Senbon,センボン,Senbon,Senbon,Senbon,Senbon,센본,Senbon
LastName_24,高岭,Takamine,高嶺,Такаминэ,Takamine,Takamine,Takamine,タカミネ,Takamine,Takamine,Takamine,Takamine,타카미네,Takamine
LastName_25,御影,Mikage,御影,Микагэ,Mikage,Mikage,Mikage,ミカゲ,Mikage,Mikage,Mikage,Mikage,미카게,Mikage
LastName_26,九条,Kujou,九條,Кудзё,Kujou,Kujou,Kujou,クジョウ,Kujou,Kujou,Kujou,Kujou,쿠조,Kujou
LastName_27,朱雀,Suzaku,朱雀,Судзаку,Suzaku,Suzaku,Suzaku,スザク,Suzaku,Suzaku,Suzaku,Suzaku,스자쿠,Suzaku
LastName_28,白虎,Byakko,白虎,Бякко,Byakko,Byakko,Byakko,ビャッコ,Byakko,Byakko,Byakko,Byakko,뱌코,Byakko
LastName_29,青龙,Seiryuu,青龍,Сэйрю,Seiryuu,Seiryuu,Seiryuu,セイリュウ,Seiryuu,Seiryuu,Seiryuu,Seiryuu,세이류,Seiryuu
LastName_30,玄武,Genbu,玄武,Гэмбу,Genbu,Genbu,Genbu,ゲンブ,Genbu,Genbu,Genbu,Genbu,겐부,Genbu
