Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
FemaleName_1,玛丽,Marie,瑪麗,Мария,María,Maria,Maria,マリー,Marie,Maria,María,Maria,마리,Maria
FemaleName_2,安娜,Anne,安娜,Анна,Ana,Ana,Anna,アンナ,Anne,Anna,Ana,Ana,안나,Anna
FemaleName_3,伊莎贝尔,Isabelle,伊莎貝爾,Изабель,Isabel,Isabel,Isabella,イザベル,Isabelle,Izabela,Isabel,Isabel,이자벨,İsabel
FemaleName_4,索菲亚,Sophie,索菲亞,София,Sofía,Sofia,Sophia,ソフィー,Sophie,Zofia,Sofía,Sofia,소피,Sofia
FemaleName_5,夏洛特,Charlotte,夏洛特,Шарлотта,Carlota,Carlota,Charlotte,シャルロット,Charlotte,Szarlota,Carlota,Carlota,샬롯,Charlotte
FemaleName_6,艾丽斯,Alice,艾麗絲,Алиса,Alicia,Alice,Alice,アリス,Alice,Alicja,Alicia,Alice,앨리스,Alice
FemaleName_7,露易丝,Louise,露易絲,Луиза,Luisa,Luísa,Luise,ルイーズ,Louise,Ludwika,Luisa,Luísa,루이즈,Louise
FemaleName_8,卡特琳,Catherine,卡特琳,Екатерина,Catalina,Catarina,Katharina,カトリーヌ,Catherine,Katarzyna,Catalina,Catarina,카트린,Catherine
FemaleName_9,珍妮,Jeanne,珍妮,Жанна,Juana,Joana,Johanna,ジャンヌ,Jeanne,Joanna,Juana,Joana,잔,Jeanne
FemaleName_10,玛格丽特,Marguerite,瑪格麗特,Маргарита,Margarita,Margarida,Margarete,マルグリット,Marguerite,Małgorzata,Margarita,Margarida,마르그리트,Marguerite
FemaleName_11,艾丽娜,Elina,艾麗娜,Элина,Elina,Elina,Elina,エリナ,Elina,Elina,Elina,Elina,엘리나,Elina
FemaleName_12,莉莉安,Lilian,莉莉安,Лилиан,Liliana,Liliana,Lilian,リリアン,Lilian,Lilian,Liliana,Liliana,릴리안,Lilian
