Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
MaleName_1,亚历山大,Alexander,亞歷山大,Александр,Alejandro,Alexandre,Alexander,アレクサンダー,Alexandre,Aleksander,Alejandro,Alexandre,알렉산더,Aleksandar
MaleName_2,威廉,William,威廉,Уильям,Guillermo,Guilherme,Wilhelm,ウィリアム,Guillaume,Wilhelm,Guillermo,Guilherme,윌리엄,William
MaleName_3,路易,Louis,路易,Луи,Luis,Luís,Ludwig,ルイ,Louis,Ludwik,Luis,Luís,루이,Louis
MaleName_4,查理,Charles,查理,Чарльз,Carlos,Carlos,Karl,チャールズ,Charles,Karol,Carlos,Carlos,찰스,Charles
MaleName_5,罗伯特,Robert,羅伯特,Роберт,Roberto,Roberto,Robert,ロバート,Robert,Robert,Roberto,Roberto,로버트,Robert
MaleName_6,亨利,Henry,亨利,Генрих,Enrique,Henrique,Heinrich,ヘンリー,Henri,Henryk,Enrique,Henrique,헨리,Henry
MaleName_7,雨果,Hugo,雨果,Гюго,Hugo,Hugo,Hugo,ユーゴ,Hugo,Hugo,Hugo,Hugo,휴고,Hugo
MaleName_8,皮埃尔,Pierre,皮埃爾,Пьер,Pedro,Pedro,Peter,ピエール,Pierre,Piotr,Pedro,Pedro,피에르,Pierre
MaleName_9,让,Jean,讓,Жан,Juan,João,Johann,ジャン,Jean,Jan,Juan,João,장,Jean
MaleName_10,雅克,Jacques,雅克,Жак,Jacobo,Tiago,Jakob,ジャック,Jacques,Jakub,Jacobo,Tiago,자크,Jacques
MaleName_11,西尔万,Sylvan,西爾萬,Сильван,Silvano,Silvano,Sylvan,シルヴァン,Sylvain,Sylwan,Silvano,Silvano,실반,Sylvan
MaleName_12,艾尔文,Elwin,艾爾文,Эльвин,Elvin,Elvino,Elwin,エルウィン,Elwin,Elwin,Elvin,Elvino,엘윈,Elwin
MaleName_13,奥伦,Oren,奧倫,Орен,Orén,Oren,Oren,オレン,Oren,Oren,Orén,Oren,오렌,Oren
MaleName_14,塞德里克,Cedric,塞德里克,Седрик,Cedrico,Cedrico,Cedric,セドリック,Cédric,Cedryk,Cedrico,Cedrico,세드릭,Cedric
MaleName_15,阿尔德,Alder,阿爾德,Алдер,Alder,Alder,Alder,アルダー,Alder,Alder,Alder,Alder,알더,Alder
MaleName_16,布拉姆,Bram,布拉姆,Брам,Bram,Bram,Bram,ブラム,Bram,Bram,Bram,Bram,브람,Bram
MaleName_17,艾伦,Elan,艾倫,Элан,Elán,Elan,Elan,エラン,Élan,Elan,Elán,Elan,엘란,Elan
MaleName_18,费奥多,Feodor,費奧多,Феодор,Feodoro,Feodoro,Feodor,フェオドル,Féodor,Feodor,Feodoro,Feodoro,페오도르,Feodor
MaleName_19,加雷斯,Gareth,加雷斯,Гарет,Gareth,Gareth,Gareth,ガレス,Gareth,Gareth,Gareth,Gareth,가레스,Gareth
MaleName_20,伊万,Ivan,伊萬,Иван,Iván,Ivan,Ivan,イヴァン,Ivan,Iwan,Iván,Ivan,이반,İvan
MaleName_21,贾斯帕,Jasper,賈斯帕,Джаспер,Jasper,Jasper,Jasper,ジャスパー,Jasper,Jasper,Jasper,Jasper,재스퍼,Jasper
MaleName_22,凯兰,Kieran,凱蘭,Киран,Kieran,Kieran,Kieran,キーラン,Kieran,Kieran,Kieran,Kieran,키어런,Kieran
MaleName_23,利安德,Leander,利安德,Леандр,Leandro,Leandro,Leander,リアンダー,Léandre,Leander,Leandro,Leandro,리안더,Leander
MaleName_24,迈伦,Myron,邁倫,Мирон,Mirón,Miron,Myron,マイロン,Myron,Miron,Mirón,Miron,마이런,Myron
MaleName_25,尼尔,Neil,尼爾,Нил,Neil,Neil,Neil,ニール,Neil,Neil,Neil,Neil,닐,Neil
MaleName_26,奥利弗,Oliver,奧利弗,Оливер,Oliver,Oliver,Oliver,オリバー,Olivier,Oliwer,Oliver,Oliver,올리버,Oliver
MaleName_27,佩雷格林,Peregrin,佩雷格林,Перегрин,Peregrino,Peregrino,Peregrin,ペレグリン,Pèlerin,Peregrin,Peregrino,Peregrino,페레그린,Peregrin
MaleName_28,昆廷,Quentin,昆廷,Квентин,Quintín,Quintino,Quentin,クエンティン,Quentin,Kwentyn,Quintín,Quintino,쿠엔틴,Quentin
MaleName_29,罗南,Ronan,羅南,Ронан,Ronán,Ronan,Ronan,ローナン,Ronan,Ronan,Ronán,Ronan,로난,Ronan
MaleName_30,塞拉斯,Silas,塞拉斯,Сайлас,Silas,Silas,Silas,サイラス,Silas,Sylas,Silas,Silas,사일러스,Silas
MaleName_31,特里斯坦,Tristan,特里斯坦,Тристан,Tristán,Tristão,Tristan,トリスタン,Tristan,Trystan,Tristán,Tristão,트리스탄,Tristan
MaleName_32,乌尔里克,Ulric,烏爾里克,Ульрик,Ulrico,Ulrico,Ulrich,ウルリック,Ulric,Ulryk,Ulrico,Ulrico,울릭,Ulric
MaleName_33,瓦伦,Valen,瓦倫,Вален,Valén,Valen,Valen,ヴァレン,Valen,Walen,Valén,Valen,발렌,Valen
MaleName_34,怀尔德,Wilder,懷爾德,Уайлдер,Wilder,Wilder,Wilder,ワイルダー,Wilder,Wilder,Wilder,Wilder,와일더,Wilder
MaleName_35,泽维尔,Xavier,澤維爾,Ксавье,Javier,Xavier,Xavier,ザビエル,Xavier,Ksawery,Javier,Xavier,자비에르,Xavier
MaleName_36,约里克,Yorick,約里克,Йорик,Yorick,Yorick,Yorick,ヨリック,Yorick,Joryk,Yorick,Yorick,요릭,Yorick
MaleName_37,赞德,Zander,贊德,Зандер,Zander,Zander,Zander,ザンダー,Zander,Zander,Zander,Zander,잔더,Zander
MaleName_38,阿什,Asher,阿什,Ашер,Asher,Asher,Asher,アッシャー,Asher,Asher,Asher,Asher,애셔,Asher
MaleName_39,巴萨,Basil,巴薩,Базиль,Basilio,Basílio,Basil,バジル,Basile,Bazyl,Basilio,Basílio,바질,Basil
MaleName_40,卡斯帕,Caspar,卡斯帕,Каспар,Gaspar,Gaspar,Kaspar,カスパー,Gaspard,Kasper,Gaspar,Gaspar,카스파르,Kaspar
MaleName_41,达蒙,Damon,達蒙,Дэймон,Damón,Damon,Damon,デイモン,Damon,Damon,Damón,Damon,데이먼,Damon
MaleName_42,埃德温,Edwin,埃德溫,Эдвин,Edwin,Edwin,Edwin,エドウィン,Edwin,Edwin,Edwin,Edwin,에드윈,Edwin
MaleName_43,弗林,Flynn,弗林,Флинн,Flynn,Flynn,Flynn,フリン,Flynn,Flynn,Flynn,Flynn,플린,Flynn
MaleName_44,格里芬,Griffin,格里芬,Гриффин,Griffin,Griffin,Griffin,グリフィン,Griffin,Griffin,Griffin,Griffin,그리핀,Griffin
MaleName_45,哈特,Hart,哈特,Харт,Hart,Hart,Hart,ハート,Hart,Hart,Hart,Hart,하트,Hart
MaleName_46,艾德里斯,Idris,艾德里斯,Идрис,Idris,Idris,Idris,イドリス,Idris,Idris,Idris,Idris,이드리스,İdris
MaleName_47,乔文,Jovan,喬文,Йован,Jovan,Jovan,Jovan,ジョヴァン,Jovan,Jowan,Jovan,Jovan,요반,Jovan
MaleName_48,凯尔,Kael,凱爾,Каэль,Kael,Kael,Kael,カエル,Kael,Kael,Kael,Kael,카엘,Kael
MaleName_49,林登,Linden,林登,Линден,Linden,Linden,Linden,リンデン,Linden,Linden,Linden,Linden,린든,Linden
MaleName_50,马林,Marin,馬林,Марин,Marín,Marin,Marin,マリン,Marin,Marin,Marín,Marin,마린,Marin
MaleName_51,诺兰,Nolan,諾蘭,Нолан,Nolan,Nolan,Nolan,ノーラン,Nolan,Nolan,Nolan,Nolan,놀란,Nolan
MaleName_52,奥瑞恩,Orion,奧瑞恩,Орион,Orión,Orion,Orion,オリオン,Orion,Orion,Orión,Orion,오리온,Orion
MaleName_53,派克,Pike,派克,Пайк,Pike,Pike,Pike,パイク,Pike,Pike,Pike,Pike,파이크,Pike
MaleName_54,昆兰,Quinlan,昆蘭,Куинлан,Quinlan,Quinlan,Quinlan,クインラン,Quinlan,Quinlan,Quinlan,Quinlan,퀸란,Quinlan
MaleName_55,雷文,Raven,雷文,Рейвен,Raven,Raven,Raven,レイヴン,Raven,Raven,Raven,Raven,레이븐,Raven
MaleName_56,萨宾,Sabin,薩賓,Сабин,Sabino,Sabino,Sabin,サビン,Sabin,Sabin,Sabino,Sabino,사빈,Sabin
MaleName_57,塔维什,Tavish,塔維什,Тавиш,Tavish,Tavish,Tavish,タヴィッシュ,Tavish,Tawisz,Tavish,Tavish,태비시,Tavish
MaleName_58,厄本,Urban,厄本,Урбан,Urbano,Urbano,Urban,アーバン,Urbain,Urban,Urbano,Urbano,어반,Urban
MaleName_59,维格,Viggo,維格,Вигго,Viggo,Viggo,Viggo,ヴィゴ,Viggo,Wiggo,Viggo,Viggo,비고,Viggo
MaleName_60,韦兰,Wayland,韋蘭,Уэйланд,Wayland,Wayland,Wayland,ウェイランド,Wayland,Wayland,Wayland,Wayland,웨이랜드,Wayland
MaleName_61,赞恩,Zane,贊恩,Зейн,Zane,Zane,Zane,ゼイン,Zane,Zane,Zane,Zane,제인,Zane
MaleName_62,阿尔温,Alwin,阿爾溫,Алвин,Alwin,Alwin,Alwin,アルウィン,Alwin,Alwin,Alwin,Alwin,알윈,Alwin
MaleName_63,贝林,Berin,貝林,Берин,Berín,Berin,Berin,ベリン,Berin,Berin,Berín,Berin,베린,Berin
MaleName_64,科尔宾,Corbin,科爾賓,Корбин,Corbín,Corbin,Corbin,コービン,Corbin,Korbin,Corbín,Corbin,코빈,Corbin
MaleName_65,德雷文,Draven,德雷文,Дрейвен,Draven,Draven,Draven,ドレイヴン,Draven,Draven,Draven,Draven,드레이븐,Draven
MaleName_66,埃尔里克,Elric,埃爾里克,Элрик,Elrico,Elrico,Elric,エルリック,Elric,Elryk,Elrico,Elrico,엘릭,Elric
MaleName_67,芬利,Finley,芬利,Финли,Finley,Finley,Finley,フィンリー,Finley,Finley,Finley,Finley,핀리,Finley
MaleName_68,格伦,Glen,格倫,Глен,Glen,Glen,Glen,グレン,Glen,Glen,Glen,Glen,글렌,Glen
MaleName_69,海登,Hayden,海登,Хейден,Hayden,Hayden,Hayden,ヘイデン,Hayden,Hayden,Hayden,Hayden,헤이든,Hayden
MaleName_70,艾弗,Ivor,艾弗,Айвор,Ívor,Ivor,Ivor,アイヴァー,Ivor,Iwor,Ívor,Ivor,아이버,İvor
MaleName_71,贾伦,Jaren,賈倫,Джарен,Jaren,Jaren,Jaren,ジャレン,Jaren,Jaren,Jaren,Jaren,자렌,Jaren
MaleName_72,凯德,Kade,凱德,Кейд,Kade,Kade,Kade,ケイド,Kade,Kade,Kade,Kade,케이드,Kade
MaleName_73,洛伦,Loren,洛倫,Лорен,Loren,Loren,Loren,ローレン,Loren,Loren,Loren,Loren,로렌,Loren
MaleName_74,梅里克,Merrick,梅里克,Меррик,Merrick,Merrick,Merrick,メリック,Merrick,Meryk,Merrick,Merrick,메릭,Merrick
MaleName_75,奈文,Nevin,奈文,Невин,Nevin,Nevin,Nevin,ネヴィン,Nevin,Newin,Nevin,Nevin,네빈,Nevin
MaleName_76,奥斯瓦尔德,Oswald,奧斯瓦爾德,Освальд,Osvaldo,Osvaldo,Oswald,オズワルド,Oswald,Oswald,Osvaldo,Osvaldo,오스왈드,Oswald
MaleName_77,帕克斯顿,Paxton,帕克斯頓,Пакстон,Paxton,Paxton,Paxton,パクストン,Paxton,Pakston,Paxton,Paxton,팩스턴,Paxton
MaleName_78,奎尔,Quill,奎爾,Квилл,Quill,Quill,Quill,クイル,Quill,Kwill,Quill,Quill,퀼,Quill
MaleName_79,雷德,Reed,雷德,Рид,Reed,Reed,Reed,リード,Reed,Reed,Reed,Reed,리드,Reed
MaleName_80,塞尔温,Selwyn,塞爾溫,Селвин,Selwyn,Selwyn,Selwyn,セルウィン,Selwyn,Selwyn,Selwyn,Selwyn,셀윈,Selwyn
MaleName_81,索恩,Thorne,索恩,Торн,Thorne,Thorne,Thorne,ソーン,Thorne,Thorn,Thorne,Thorne,손,Thorne
MaleName_82,尤利安,Urian,尤利安,Уриан,Urián,Urian,Urian,ユリアン,Urien,Urian,Urián,Urian,우리안,Urian
MaleName_83,维达尔,Vidal,維達爾,Видаль,Vidal,Vidal,Vidal,ヴィダル,Vidal,Widal,Vidal,Vidal,비달,Vidal
MaleName_84,沃恩,Warren,沃恩,Уоррен,Warren,Warren,Warren,ウォーレン,Warren,Warren,Warren,Warren,워런,Warren
MaleName_85,泽克斯,Xander,澤克斯,Ксандер,Xander,Xander,Xander,ザンダー,Xander,Ksander,Xander,Xander,잔더,Xander
MaleName_86,耶尔,Yael,耶爾,Яэль,Yael,Yael,Yael,ヤエル,Yael,Jael,Yael,Yael,야엘,Yael
MaleName_87,泽菲尔,Zephyr,澤菲爾,Зефир,Céfiro,Zéfiro,Zephyr,ゼファー,Zéphyr,Zefir,Céfiro,Zéfiro,제피르,Zephyr
MaleName_88,阿尔瓦,Alvar,阿爾瓦,Альвар,Álvar,Alvar,Alvar,アルヴァル,Alvar,Alwar,Álvar,Alvar,알바르,Alvar
MaleName_89,布罗根,Brogan,布羅根,Броган,Brogan,Brogan,Brogan,ブローガン,Brogan,Brogan,Brogan,Brogan,브로건,Brogan
MaleName_90,卡伦,Callen,卡倫,Каллен,Callen,Callen,Callen,カレン,Callen,Kallen,Callen,Callen,칼렌,Callen
MaleName_91,德克兰,Declan,德克蘭,Деклан,Declan,Declan,Declan,デクラン,Declan,Deklan,Declan,Declan,데클란,Declan
MaleName_92,埃夫伦,Efren,埃夫倫,Эфрен,Efrén,Efren,Efren,エフレン,Efren,Efren,Efrén,Efren,에프렌,Efren
MaleName_93,费恩,Fane,費恩,Фейн,Fane,Fane,Fane,フェイン,Fane,Fane,Fane,Fane,페인,Fane
MaleName_94,加文,Gavin,加文,Гэвин,Gavin,Gavin,Gavin,ギャヴィン,Gavin,Gawin,Gavin,Gavin,개빈,Gavin
MaleName_95,霍尔顿,Holden,霍爾頓,Холден,Holden,Holden,Holden,ホールデン,Holden,Holden,Holden,Holden,홀든,Holden
MaleName_96,因德尔,Indel,因德爾,Индел,Índel,Indel,Indel,インデル,Indel,Indel,Índel,Indel,인델,İndel
MaleName_97,杰德,Jedd,傑德,Джедд,Jedd,Jedd,Jedd,ジェド,Jedd,Jedd,Jedd,Jedd,제드,Jedd
MaleName_98,凯南,Kenan,凱南,Кенан,Kenán,Kenan,Kenan,ケナン,Kenan,Kenan,Kenán,Kenan,케난,Kenan
MaleName_99,莱桑德,Lysander,萊桑德,Лисандр,Lisandro,Lisandro,Lysander,リサンダー,Lysandre,Lizander,Lisandro,Lisandro,리산더,Lysander
MaleName_100,马拉凯,Malakai,馬拉凱,Малакай,Malakai,Malakai,Malakai,マラカイ,Malakai,Malakaj,Malakai,Malakai,말라카이,Malakai
