Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
LastName_1,杜波依斯,Dubois,杜波依斯,Дюбуа,Dubois,Dubois,Dubois,デュボワ,Dubois,Dubois,Dubois,Dubois,뒤부아,Dubois
LastName_2,马丁,Martin,馬丁,Мартен,Martín,Martin,Martin,マルタン,Martin,Martin,Martín,Martin,마르탱,Martin
LastName_3,伯纳德,Bernard,伯納德,Бернар,Bernardo,Bernardo,Bernard,ベルナール,Bernard,Bernard,Bernardo,Bernardo,베르나르,Bernard
LastName_4,托马斯,Thomas,托馬斯,Тома,Tomás,Tomás,Thomas,トーマ,Thomas,Tomasz,Tomás,Tomás,토마,Thomas
LastName_5,罗伯特,Robert,羅伯特,Робер,Roberto,Roberto,Robert,ロベール,Robert,Robert,Roberto,Roberto,로베르,Robert
LastName_6,理查德,Richard,理查德,Ришар,Ricardo,Ricardo,Richard,リシャール,Richard,Ryszard,Ricardo,Ricardo,리샤르,Richard
LastName_7,佩蒂特,Petit,佩蒂特,Пети,Petit,Petit,Petit,プティ,Petit,Petit,Petit,Petit,프티,Petit
LastName_8,杜兰德,Durand,杜蘭德,Дюран,Durand,Durand,Durand,デュラン,Durand,Durand,Durand,Durand,뒤랑,Durand
LastName_9,勒鲁瓦,Leroy,勒魯瓦,Леруа,Leroy,Leroy,Leroy,ルロワ,Leroy,Leroy,Leroy,Leroy,르루아,Leroy
LastName_10,莫罗,Moreau,莫羅,Моро,Moreau,Moreau,Moreau,モロー,Moreau,Moreau,Moreau,Moreau,모로,Moreau
LastName_11,勒费弗尔,Lefebvre,勒費弗爾,Лефевр,Lefebvre,Lefebvre,Lefebvre,ルフェーヴル,Lefebvre,Lefebvre,Lefebvre,Lefebvre,르페브르,Lefebvre
LastName_12,加尼耶,Garnier,加尼耶,Гарнье,Garnier,Garnier,Garnier,ガルニエ,Garnier,Garnier,Garnier,Garnier,가르니에,Garnier
LastName_13,鲁索,Rousseau,魯索,Руссо,Rousseau,Rousseau,Rousseau,ルソー,Rousseau,Rousseau,Rousseau,Rousseau,루소,Rousseau
LastName_14,布朗,Blanc,布朗,Блан,Blanc,Blanc,Blanc,ブラン,Blanc,Blanc,Blanc,Blanc,블랑,Blanc
LastName_15,福尔蒂埃,Fortier,福爾蒂埃,Фортье,Fortier,Fortier,Fortier,フォルティエ,Fortier,Fortier,Fortier,Fortier,포르티에,Fortier
LastName_16,梅西耶,Mercier,梅西耶,Мерсье,Mercier,Mercier,Mercier,メルシエ,Mercier,Mercier,Mercier,Mercier,메르시에,Mercier
LastName_17,勒格朗,Legrand,勒格朗,Легран,Legrand,Legrand,Legrand,ルグラン,Legrand,Legrand,Legrand,Legrand,르그랑,Legrand
LastName_18,富尼耶,Fournier,富尼耶,Фурнье,Fournier,Fournier,Fournier,フルニエ,Fournier,Fournier,Fournier,Fournier,푸르니에,Fournier
LastName_19,吉拉德,Girard,吉拉德,Жирар,Girard,Girard,Girard,ジラール,Girard,Girard,Girard,Girard,지라르,Girard
LastName_20,勒梅尔,Lemaire,勒梅爾,Лемер,Lemaire,Lemaire,Lemaire,ルメール,Lemaire,Lemaire,Lemaire,Lemaire,르메르,Lemaire
LastName_21,佩兰,Perrin,佩蘭,Перрен,Perrin,Perrin,Perrin,ペラン,Perrin,Perrin,Perrin,Perrin,페랭,Perrin
LastName_22,德马雷,Demarais,德馬雷,Демаре,Demarais,Demarais,Demarais,ドゥマレ,Demarais,Demarais,Demarais,Demarais,드마레,Demarais
LastName_23,拉库尔,Lacour,拉庫爾,Лакур,Lacour,Lacour,Lacour,ラクール,Lacour,Lacour,Lacour,Lacour,라쿠르,Lacour
LastName_24,夏瓦利埃,Chevalier,夏瓦利埃,Шевалье,Chevalier,Chevalier,Chevalier,シュヴァリエ,Chevalier,Chevalier,Chevalier,Chevalier,슈발리에,Chevalier
LastName_25,博杜安,Beaudoin,博杜安,Бодуэн,Beaudoin,Beaudoin,Beaudoin,ボードワン,Beaudoin,Beaudoin,Beaudoin,Beaudoin,보두앵,Beaudoin
LastName_26,勒孔特,Leconte,勒孔特,Леконт,Leconte,Leconte,Leconte,ルコント,Leconte,Leconte,Leconte,Leconte,르콩트,Leconte
LastName_27,拉罗什,Laroche,拉羅什,Ларош,Laroche,Laroche,Laroche,ラロッシュ,Laroche,Laroche,Laroche,Laroche,라로슈,Laroche
LastName_28,德维尔,Deville,德維爾,Девиль,Deville,Deville,Deville,ドゥヴィル,Deville,Deville,Deville,Deville,드빌,Deville
LastName_29,博纳尔,Bonnard,博納爾,Боннар,Bonnard,Bonnard,Bonnard,ボナール,Bonnard,Bonnard,Bonnard,Bonnard,보나르,Bonnard
LastName_30,拉瓦勒,Laval,拉瓦勒,Лаваль,Laval,Laval,Laval,ラヴァル,Laval,Laval,Laval,Laval,라발,Laval
LastName_31,图尔尼耶,Tournier,圖爾尼耶,Турнье,Tournier,Tournier,Tournier,トゥルニエ,Tournier,Tournier,Tournier,Tournier,투르니에,Tournier
LastName_32,勒诺,Renault,勒諾,Рено,Renault,Renault,Renault,ルノー,Renault,Renault,Renault,Renault,르노,Renault
LastName_33,德拉克鲁瓦,Delacroix,德拉克魯瓦,Делакруа,Delacroix,Delacroix,Delacroix,ドラクロワ,Delacroix,Delacroix,Delacroix,Delacroix,들라크루아,Delacroix
LastName_34,贝朗热,Béranger,貝朗熱,Беранже,Béranger,Béranger,Béranger,ベランジェ,Béranger,Béranger,Béranger,Béranger,베랑제,Béranger
LastName_35,夏布里耶,Chabrier,夏布里耶,Шабрие,Chabrier,Chabrier,Chabrier,シャブリエ,Chabrier,Chabrier,Chabrier,Chabrier,샤브리에,Chabrier
LastName_36,德拉库尔,Delacour,德拉庫爾,Делакур,Delacour,Delacour,Delacour,ドラクール,Delacour,Delacour,Delacour,Delacour,들라쿠르,Delacour
LastName_37,拉孔布,Lacombe,拉孔布,Лакомб,Lacombe,Lacombe,Lacombe,ラコンブ,Lacombe,Lacombe,Lacombe,Lacombe,라콩브,Lacombe
