Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
Lyudym,柳迪姆,Lyudym,柳迪姆,Людым,Lyudym,Lyudym,Lyudym,リューディム,Lyudym,Lyudym,Lyudym,Lyudym,류딤,Lyudym
Blago,布拉戈,Blago,布拉戈,Благо,Blago,Blago,Blago,ブラゴ,Blago,Blago,Blago,Blago,블라고,Blago
Chattles,查特尔斯,Chattles,查特爾斯,Чаттлз,Chattles,Chattles,Chattles,チャトルズ,Chattles,Chattles,Chattles,Chattles,챠틀스,Chattles
Pembai,佩姆拜,Pembai,佩姆拜,Пембай,Pembai,Pembai,Pembai,ペンバイ,Pembai,Pembai,Pembai,Pembai,펨바이,Pembai
Laude,劳德,Laude,勞德,Лауде,Laude,Laude,Laude,ラウデ,Laude,Laude,Laude,Laude,라우데,Laude
Angen,安根,Angen,安根,Анген,Angen,Angen,Angen,アンゲン,Angen,Angen,Angen,Angen,앙겐,Angen
Kubara,库巴拉,Kubara,庫巴拉,Кубара,Kubara,Kubara,Kubara,クバラ,Kubara,Kubara,Kubara,Kubara,쿠바라,Kubara
Doukovsk,杜科夫斯克,Doukovsk,杜科夫斯克,Дуковск,Doukovsk,Doukovsk,Doukovsk,ドゥコフスク,Doukovsk,Doukovsk,Doukovsk,Doukovsk,두코프스크,Doukovsk
Ivanton,伊万顿,Ivanton,伊萬頓,Ивантон,Ivanton,Ivanton,Ivanton,イヴァントン,Ivanton,Ivanton,Ivanton,Ivanton,이반톤,Ivanton
Islothusis,伊斯洛图西斯,Islothusis,伊斯洛圖西斯,Ислотусис,Islothusis,Islothusis,Islothusis,イスロトゥシス,Islothusis,Islothusis,Islothusis,Islothusis,이슬로투시스,Islothusis
Thory,索里,Thory,索里,Сори,Thory,Thory,Thory,ソリー,Thory,Thory,Thory,Thory,소리,Thory
Kōnawa,考纳瓦,Kōnawa,考納瓦,Конава,Kōnawa,Kōnawa,Kōnawa,コナワ,Kōnawa,Kōnawa,Kōnawa,Kōnawa,코나와,Kōnawa
Preshum,普雷舒姆,Preshum,普雷舒姆,Прешум,Preshum,Preshum,Preshum,プレシュム,Preshum,Preshum,Preshum,Preshum,프레슘,Preshum
Swadhur,斯瓦杜尔,Swadhur,斯瓦杜爾,Свадзур,Swadhur,Swadhur,Swadhur,スワズール,Swadhur,Swadhur,Swadhur,Swadhur,스와두르,Swadhur
Busuke,布苏克,Busuke,布蘇克,Бусукэ,Busuke,Busuke,Busuke,ブスケ,Busuke,Busuke,Busuke,Busuke,부스케,Busuke
Tagaintsūji,多盖因津季,Tagaintsūji,多蓋因津季,Тагайнцуудзи,Tagaintsūji,Tagaintsūji,Tagaintsūji,タガインツウジ,Tagaintsūji,Tagaintsūji,Tagaintsūji,Tagaintsūji,타가인쯔지,Tagaintsūji
Kreuto,克鲁托,Kreuto,克魯托,Креуто,Kreuto,Kreuto,Kreuto,クレウト,Kreuto,Kreuto,Kreuto,Kreuto,크레우토,Kreuto
Astley,阿斯特利,Astley,阿斯特利,Астли,Astley,Astley,Astley,アスリー,Astley,Astley,Astley,Astley,애슬리,Astley
Bamensk,班门斯克,Bamensk,班門斯克,Баменск,Bamensk,Bamensk,Bamensk,バメンスク,Bamensk,Bamensk,Bamensk,Bamensk,바멘스크,Bamensk
Bratsu,布拉楚,Bratsu,布拉楚,Брацу,Bratsu,Bratsu,Bratsu,ブラツ,Bratsu,Bratsu,Bratsu,Bratsu,브라추,Bratsu
Rayama,雷亚马,Rayama,雷亞馬,Раяма,Rayama,Rayama,Rayama,レイアマ,Rayama,Rayama,Rayama,Rayama,레이아마,Rayama
Aarby,阿尔比,Aarby,阿爾比,Арби,Aarby,Aarby,Aarby,アールビー,Aarby,Aarby,Aarby,Aarby,아르비,Aarby
Huttwith,哈特维思,Huttwith,哈特維思,Хаттвиз,Huttwith,Huttwith,Huttwith,ハットウィズ,Huttwith,Huttwith,Huttwith,Huttwith,헛트위스,Huttwith
Oostalovka,奥斯塔洛夫卡,Oostalovka,奧斯塔洛夫卡,Оосталовка,Oostalovka,Oostalovka,Oostalovka,オースタロフカ,Oostalovka,Oostalovka,Oostalovka,Oostalovka,오스탈로프카,Oostalovka
Shimki,诗米基,Shimki,詩米基,Шимки,Shimki,Shimki,Shimki,シムキ,Shimki,Shimki,Shimki,Shimki,심키,Shimki
Takatsuk,高筑,Takatsuk,高築,Такацук,Takatsuk,Takatsuk,Takatsuk,タカツク,Takatsuk,Takatsuk,Takatsuk,Takatsuk,타카츠쿠,Takatsuk
Teinel,泰内尔,Teinel,泰內爾,Тайнэль,Teinel,Teinel,Teinel,テイネル,Teinel,Teinel,Teinel,Teinel,테이넬,Teinel
Jolignton,乔灵顿,Jolignton,喬靈頓,Джолигтон,Jolignton,Jolignton,Jolignton,ジョリントン,Jolignton,Jolignton,Jolignton,Jolignton,졸링턴,Jolignton
Pudozhevo,普多热沃,Pudozhevo,普多熱沃,Пудожево,Pudozhevo,Pudozhevo,Pudozhevo,プドジェヴォ,Pudozhevo,Pudozhevo,Pudozhevo,Pudozhevo,푸도제보,Pudozhevo
Kalyov,卡留夫,Kalyov,卡留夫,Калёв,Kalyov,Kalyov,Kalyov,カリョフ,Kalyov,Kalyov,Kalyov,Kalyov,칼료프,Kalyov
Belye,白耶,Belye,白耶,Белые,Belye,Belye,Belye,ベリェ,Belye,Belye,Belye,Belye,벨리예,Belye
Beloyar,白亚尔,Beloyar,白亞爾,Белояр,Beloyar,Beloyar,Beloyar,ベロヤール,Beloyar,Beloyar,Beloyar,Beloyar,벨로야르,Beloyar
Kamogorny,卡莫戈尔尼,Kamogorny,卡莫戈爾尼,Камогорни,Kamogorny,Kamogorny,Kamogorny,カモゴルニー,Kamogorny,Kamogorny,Kamogorny,Kamogorny,카모고르니,Kamogorny
Yaterswich,亚特斯威奇,Yaterswich,亞特斯威奇,Ятерсвич,Yaterswich,Yaterswich,Yaterswich,ヤタースウィッチ,Yaterswich,Yaterswich,Yaterswich,Yaterswich,야터스위치,Yaterswich
Navao,纳瓦奥,Navao,納瓦奧,Навао,Navao,Navao,Navao,ナヴァオ,Navao,Navao,Navao,Navao,나바오,Navao
