Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
FemaleName_1,阿娅,Aya,阿婭,Айя,Aya,Aya,Aya,アヤ,Aya,Aja,Aya,Aya,아야,Aya
FemaleName_2,图蕾,Tulay,圖蕾,Тулай,Tulay,Tulay,Tulay,トゥライ,Tulay,Tulay,Tulay,Tulay,툴라이,Tülay
FemaleName_3,萨拉伊,Sarai,薩拉伊,Сарай,Sarai,Sarai,Sarai,サライ,Saraï,Saraj,Sarai,Sarai,사라이,Saray
FemaleName_4,阿尔滕,Alten,阿爾滕,Алтын,Alten,Alten,Alten,アルテン,Alten,Alten,Alten,Alten,알텐,Alten
FemaleName_5,伯尔帖,Borte,伯爾帖,Бортэ,Borte,Borte,Börte,ボルテ,Börtö,Borte,Borte,Borte,보르테,Börte
FemaleName_6,乞颜,Qiyan,乞顏,Киян,Qiyan,Qiyan,Qiyan,キヤン,Qiyan,Qijan,Qiyan,Qiyan,기얀,Kiyan
FemaleName_7,蒙古琳,Mongolin,蒙古琳,Монголин,Mongolin,Mongolin,Mongolin,モンゴリン,Mongolin,Mongolin,Mongolin,Mongolin,몽골린,Mongolin
FemaleName_8,斯琪,Saikhan,斯琪,Сайхан,Saikhan,Saikhan,Saikhan,サイハン,Saikhan,Sajkan,Saikhan,Saikhan,사이칸,Saikhan
FemaleName_9,巴彦,Bayan,巴彥,Баян,Bayan,Bayan,Bajan,バヤン,Bayan,Bajan,Bayan,Bayan,바얀,Bayan
FemaleName_10,额尔敦,Erdene,額爾敦,Эрдэнэ,Erdene,Erdene,Erdene,エルデネ,Erdene,Erdene,Erdene,Erdene,에르데네,Erdene
FemaleName_11,诃额仑,Hoelun,訶額侖,Оэлун,Hoelun,Hoelun,Hoelun,ホエルン,Hoelun,Hoelun,Hoelun,Hoelun,호엘룬,Hoelun
FemaleName_12,唆鲁禾帖尼,Sorghaghtani,唆魯禾帖尼,Соргагтани,Sorghaghtani,Sorghaghtani,Sorghaghtani,ソルガグタニ,Sorghaghtani,Sorgagtani,Sorghaghtani,Sorghaghtani,소르각타니,Sorghaghtani
FemaleName_13,托雷格勒,Töregene,托雷格勒,Төрэгэнэ,Töregene,Töregene,Töregene,トレゲネ,Töregene,Toregene,Töregene,Töregene,퇴레게네,Töregene
FemaleName_14,脱古思可敦,Toghus Khatun,脫古思可敦,Тогус Хатан,Toghus Khatun,Toghus Khatun,Toghus Khatun,トグス・ハトゥン,Toghus Khatun,Togus Chatun,Toghus Khatun,Toghus Khatun,토구스 하툰,Toğus Hatun
FemaleName_15,海迷失,Oghul Qaimish,海迷失,Огул Хаймиш,Oghul Qaimish,Oghul Qaimish,Oghul Qaimish,オグル・カイミシュ,Oghul Qaimish,Ogul Kajmisz,Oghul Qaimish,Oghul Qaimish,오굴 카이미시,Oğul Kaymiş
FemaleName_16,察必,Chabi,察必,Чаби,Chabi,Chabi,Tschabi,チャビ,Tchabi,Czabi,Chabi,Chabi,차비,Çabi
FemaleName_17,南必,Nambui,南必,Намбуй,Nambui,Nambui,Nambui,ナンブイ,Nambui,Nambuj,Nambui,Nambui,남부이,Nambui
FemaleName_18,可敦,Khatun,可敦,Хатан,Khatun,Khatun,Khatun,ハトゥン,Khatun,Chatun,Khatun,Khatun,하툰,Hatun
FemaleName_19,月伦,Oirun,月倫,Ойрун,Oirun,Oirun,Oirun,オイルン,Oiroun,Ojrun,Oirun,Oirun,오이룬,Oyrun
FemaleName_20,索伦高娃,Solongo,索倫高娃,Солонго,Solongo,Solongo,Solongo,ソロンゴ,Solongo,Solongo,Solongo,Solongo,솔롱고,Solongo
FemaleName_21,乌仁图雅,Urintoya,烏仁圖雅,Уринтуя,Urintoya,Urintoya,Urintoya,ウリントヤ,Urintoya,Urintuja,Urintoya,Urintoya,우린토야,Urintoya
FemaleName_22,哈斯高娃,Khasgowa,哈斯高娃,Хасгова,Khasgowa,Khasgowa,Khasgowa,ハスゴワ,Khasgowa,Chasgowa,Khasgowa,Khasgowa,하스고와,Hasgova
FemaleName_23,其其格,Tsetseg,其其格,Цэцэг,Tsetseg,Tsetseg,Tsetseg,ツェツェグ,Tsetseg,Ceceg,Tsetseg,Tsetseg,체체그,Tsetseg
FemaleName_24,娜仁花,Narantsetseg,娜仁花,Наранцэцэг,Narantsetseg,Narantsetseg,Narantsetseg,ナランツェツェグ,Narantsetseg,Naranceceg,Narantsetseg,Narantsetseg,나란체체그,Narantsetseg
FemaleName_25,萨仁高娃,Sarengowa,薩仁高娃,Сарангова,Sarengowa,Sarengowa,Sarengowa,サレンゴワ,Sarengowa,Sarengowa,Sarengowa,Sarengowa,사렝고와,Sarengova
FemaleName_26,阿拉坦,Alatan,阿拉坦,Алтан,Alatan,Alatan,Alatan,アラタン,Alatan,Alatan,Alatan,Alatan,알라탄,Alatan
FemaleName_27,图雅,Tuya,圖雅,Туяа,Tuya,Tuya,Tuya,トゥヤ,Touya,Tuja,Tuya,Tuya,투야,Tuya
FemaleName_28,朝鲁门,Choirumon,朝魯門,Чойрмон,Choirumon,Choirumon,Tschoirumon,チョイルモン,Tchoiroumon,Czojrumon,Choirumon,Choirumon,초이루몬,Çoyrumon
FemaleName_29,乌云其木格,Oyuntsetseg,烏雲其木格,Оюунцэцэг,Oyuntsetseg,Oyuntsetseg,Oyuntsetseg,オユンツェツェグ,Oyountsetseg,Ojunceceg,Oyuntsetseg,Oyuntsetseg,오윤체체그,Oyuntsetseg
FemaleName_30,宝音,Boyin,寶音,Боин,Boyin,Boyin,Boyin,ボイン,Boyin,Bojin,Boyin,Boyin,보인,Boyin
FemaleName_31,格日勒,Gerel,格日勒,Гэрэл,Gerel,Gerel,Gerel,ゲレル,Guérel,Gerel,Gerel,Gerel,게렐,Gerel
FemaleName_32,奥敦格日勒,Odgerel,奧敦格日勒,Одгэрэл,Odgerel,Odgerel,Odgerel,オドゲレル,Odguérel,Odgerel,Odgerel,Odgerel,오드게렐,Odgerel
FemaleName_33,娜日娜,Narna,娜日娜,Нарна,Narna,Narna,Narna,ナルナ,Narna,Narna,Narna,Narna,나르나,Narna
FemaleName_34,萨日娜,Sarna,薩日娜,Сарна,Sarna,Sarna,Sarna,サルナ,Sarna,Sarna,Sarna,Sarna,사르나,Sarna
FemaleName_35,乌兰,Ulan,烏蘭,Улан,Ulan,Ulan,Ulan,ウラン,Oulan,Ulan,Ulan,Ulan,울란,Ulan
FemaleName_36,呼斯楞,Khuslen,呼斯楞,Хүслэн,Khuslen,Khuslen,Khuslen,フスレン,Khouslen,Chuslen,Khuslen,Khuslen,후슬렌,Hüslen
FemaleName_37,塔娜,Tana,塔娜,Тана,Tana,Tana,Tana,タナ,Tana,Tana,Tana,Tana,타나,Tana
FemaleName_38,敖登格日勒,Odongerel,敖登格日勒,Одонгэрэл,Odongerel,Odongerel,Odongerel,オドンゲレル,Odonguérel,Odongerel,Odongerel,Odongerel,오돈게렐,Odongerel
FemaleName_39,乌日古木拉,Urjigumul,烏日古木拉,Уржигумул,Urjigumul,Urjigumul,Urjigumul,ウルジグムル,Ourdjigumul,Urdżigumul,Urjigumul,Urjigumul,우르지구물,Urcigumul
