Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
MaleName_1,阿尔坦,Altan,阿爾坦,Алтан,Altan,Altan,Altan,アルタン,Altan,Altan,Altan,Altan,알탄,Altan
MaleName_2,巴图,Batu,巴圖,Бату,Batu,Batu,Batu,バトゥ,Batu,Batu,Batu,Batu,바투,Batu
MaleName_3,铁木真,Temujin,鐵木真,Темуджин,Temujin,Temujin,Temüdschin,テムジン,Temüdjin,Temudżin,Temujin,Temujin,테무진,Temuçin
MaleName_4,托格雷,Toghrul,托格雷,Тогрул,Toghrul,Toghrul,Toghrul,トグリル,Toghrul,Toghrul,Toghrul,Toghrul,토그릴,Toğrul
MaleName_5,察合台,Chagatai,察合台,Чагатай,Chagatai,Chagatai,Tschagatai,チャガタイ,Djaghataï,Czagataj,Chagatai,Chagatai,차가타이,Çağatay
MaleName_6,窝阔台,Ogedei,窩闊台,Угэдэй,Ogedei,Ogedei,Ögedei,オゴタイ,Ögödei,Ugedej,Ogedei,Ogedei,오고타이,Ögedey
MaleName_7,忽必烈,Kublai,忽必烈,Хубилай,Kublai,Kublai,Kublai,クビライ,Kubilai,Kubłaj,Kublai,Kublai,쿠빌라이,Kubilay
MaleName_8,博尔术,Boroldai,博爾術,Болдай,Boroldai,Boroldai,Boroldai,ボロルダイ,Boroldaï,Borołdaj,Boroldai,Boroldai,보롤다이,Boroldai
MaleName_9,速不台,Subutai,速不台,Субэдэй,Subutai,Subutai,Subutai,スブタイ,Subötaï,Subedej,Subutai,Subutai,수부타이,Subutay
MaleName_10,札木合,Jamukha,札木合,Джамуха,Jamukha,Jamukha,Dschamukha,ジャムカ,Djamoukha,Dżamuka,Jamukha,Jamukha,자무카,Camuka
MaleName_11,蒙赫,Munkh,蒙赫,Мөнх,Munkh,Munkh,Munkh,ムンフ,Munkh,Munch,Munkh,Munkh,문흐,Münkh
MaleName_12,巴特尔,Baatar,巴特爾,Баатар,Baatar,Baatar,Baatar,バータル,Baatar,Baatar,Baatar,Baatar,바타르,Baatar
MaleName_13,呼和勒,Khokhol,呼和勒,Хохол,Khokhol,Khokhol,Khokhol,ホホル,Khokhol,Chochol,Khokhol,Khokhol,호홀,Khokhol
MaleName_14,那颜,Nayan,那顏,Наян,Nayan,Nayan,Najan,ナヤン,Nayan,Najan,Nayan,Nayan,나얀,Nayan
MaleName_15,哈撒儿,Khasar,哈撒兒,Хасар,Khasar,Khasar,Khasar,ハサル,Khasar,Chasar,Khasar,Khasar,하사르,Khasar
MaleName_16,者勒蔑,Jelme,者勒蔑,Джэлмэ,Jelme,Jelme,Dschelme,ジェルメ,Djelmé,Dżelme,Jelme,Jelme,젤메,Celme
MaleName_17,木华黎,Mukhali,木華黎,Мухали,Mukhali,Mukhali,Mukhali,ムカリ,Mukhali,Muchali,Mukhali,Mukhali,무칼리,Mukhali
MaleName_18,赤老温,Chilaun,赤老溫,Чилаун,Chilaun,Chilaun,Tschilaun,チラウン,Tchilaoun,Czilaun,Chilaun,Chilaun,칠라운,Çilaun
MaleName_19,博尔忽,Borokul,博爾忽,Борохул,Borokul,Borokul,Borokul,ボロフル,Borokhoul,Borochul,Borokul,Borokul,보로쿨,Borokul
MaleName_20,朵歹,Dodai,朵歹,Додай,Dodai,Dodai,Dodai,ドダイ,Dodaï,Dodaj,Dodai,Dodai,도다이,Doday
MaleName_21,蒙力克,Monglik,蒙力克,Мөнглик,Monglik,Monglik,Mönglik,モングリク,Mönglik,Monglik,Monglik,Monglik,몽글릭,Mönglik
MaleName_22,拔都,Batu,拔都,Батый,Batu,Batu,Batu,バトゥ,Batou,Batu,Batu,Batu,바투,Batu
MaleName_23,别儿哥,Berke,別兒哥,Берке,Berke,Berke,Berke,ベルケ,Berké,Berke,Berke,Berke,베르케,Berke
MaleName_24,蒙哥,Mongke,蒙哥,Мөнхэ,Mongke,Mongke,Möngke,モンケ,Möngké,Mongke,Mongke,Mongke,몽케,Möngke
MaleName_25,阿里不哥,Ariq Boke,阿里不哥,Ариг-Буха,Ariq Boke,Ariq Boke,Ariq Böke,アリクブケ,Ariq Böké,Aryk Buke,Ariq Boke,Ariq Boke,아릭 보케,Arık Böke
