Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
LastName_1,巴特尔,Batbayar,巴特爾,Батбаяр,Batbayar,Batbayar,Batbayar,バトバヤル,Batbayar,Batbajar,Batbayar,Batbayar,바트바야르,Batbayar
LastName_2,额尔德尼,Erdeni,額爾德尼,Эрдэни,Erdeni,Erdeni,Erdeni,エルデニ,Erdeni,Erdeni,Erdeni,Erdeni,에르데니,Erdeni
LastName_3,博尔金,Borjigid,博爾金,Борджигин,Borjigid,Borjigid,Borjigid,ボルジギド,Borjigid,Bordżygid,Borjigid,Borjigid,보르지기드,Borjigid
LastName_4,察干巴特尔,Tsagaan,察干巴特爾,Цаган,Tsagaan,Tsagaan,Tsagaan,ツァガーン,Tsagaan,Cagan,Tsagaan,Tsagaan,차간,Tsagaan
LastName_5,呼和巴特尔,Khukh,呼和巴特爾,Хух,Khukh,Khukh,Khukh,フフ,Khukh,Chuch,Khukh,Khukh,후흐,Khukh
LastName_6,苏和巴特尔,Sukh,蘇和巴特爾,Сух,Sukh,Sukh,Sukh,スフ,Sukh,Such,Sukh,Sukh,수흐,Sukh
LastName_7,达木丁,Damdin,達木丁,Дамдин,Damdin,Damdin,Damdin,ダムディン,Damdin,Damdin,Damdin,Damdin,담딘,Damdin
LastName_8,道尔吉,Dorji,道爾吉,Дорджи,Dorji,Dorji,Dorji,ドルジ,Dorji,Dordżi,Dorji,Dorji,도르지,Dorji
LastName_9,巴雅尔,Bayar,巴雅爾,Баяр,Bayar,Bayar,Bayar,バヤル,Bayar,Bajar,Bayar,Bayar,바야르,Bayar
LastName_10,乌兰巴特尔,Ulaan,烏蘭巴特爾,Улан,Ulaan,Ulaan,Ulaan,ウラーン,Ulaan,Ułan,Ulaan,Ulaan,울란,Ulaan
LastName_11,蒙赫巴特,Munkhbat,蒙赫巴特,Мөнхбат,Munkhbat,Munkhbat,Münchbat,ムンフバト,Mounkhbat,Munchbat,Munkhbat,Munkhbat,문흐바트,Münhbat
LastName_12,甘巴特尔,Ganbat,甘巴特爾,Ганбат,Ganbat,Ganbat,Ganbat,ガンバト,Ganbat,Ganbat,Ganbat,Ganbat,간바트,Ganbat
LastName_13,奥其尔巴特,Ochirbal,奧其爾巴特,Очирбал,Ochirbal,Ochirbal,Otschirbal,オチルバル,Otchirbal,Oczirbal,Ochirbal,Ochirbal,오치르발,Oçirbal
LastName_14,纳仁巴特尔,Naranbat,納仁巴特爾,Наранбат,Naranbat,Naranbat,Naranbat,ナランバト,Naranbat,Naranbat,Naranbat,Naranbat,나란바트,Naranbat
LastName_15,苏和巴特,Sukhbat,蘇和巴特,Сүхбат,Sukhbat,Sukhbat,Suchbat,スフバト,Soukhbat,Suchbat,Sukhbat,Sukhbat,수흐바트,Sühbat
LastName_16,恩赫巴特,Enkhbat,恩赫巴特,Энхбат,Enkhbat,Enkhbat,Enchbat,エンフバト,Enkhbat,Enchbat,Enkhbat,Enkhbat,엔흐바트,Enhbat
