Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
Aris,艾丽丝,Aris,艾麗絲,Арис,Aris,Aris,Aris,アリス,Aris,Aris,Aris,Aris,아리스,Aris
Momoi,桃井,Momoi,桃井,Момои,Momoi,Momoi,Momoi,モモイ,Momoi,Momoi,Momoi,Momoi,모모이,Momoi
Midori,绿,Midori,綠,Мидори,Midori,Midori,Midori,ミドリ,Midori,Midori,Midori,Midori,미도리,Midori
Yuzu,柚子,Yuzu,柚子,Юдзу,Yuzu,Yuzu,Yuzu,ユズ,Yuzu,Yuzu,Yuzu,Yuzu,유즈,Yuzu
Noa,诺亚,Noa,諾亞,Ноа,Noa,Noa,Noa,ノア,Noa,Noa,Noa,Noa,노아,Noa
Akane,茜,Akane,茜,Аканэ,Akane,Akane,Akane,アカネ,Akane,Akane,Akane,Akane,아카네,Akane
Asuna,明日奈,Asuna,明日奈,Асуна,Asuna,Asuna,Asuna,アスナ,Asuna,Asuna,Asuna,Asuna,아스나,Asuna
Karin,花凛,Karin,花凜,Карин,Karin,Karin,Karin,カリン,Karin,Karin,Karin,Karin,카린,Karin
Toki,时,Toki,時,Токи,Toki,Toki,Toki,トキ,Toki,Toki,Toki,Toki,토키,Toki
Neru,音瑠,Neru,音瑠,Нэру,Neru,Neru,Neru,ネル,Neru,Neru,Neru,Neru,네루,Neru
Yuuka,优香,Yuuka,優香,Юука,Yuuka,Yuuka,Yuuka,ユウカ,Yuuka,Yuuka,Yuuka,Yuuka,유우카,Yuuka
Himari,日鞠,Himari,日鞠,Химари,Himari,Himari,Himari,ヒマリ,Himari,Himari,Himari,Himari,히마리,Himari
Kotama,小玉,Kotama,小玉,Котама,Kotama,Kotama,Kotama,コタマ,Kotama,Kotama,Kotama,Kotama,코타마,Kotama
Chihiro,千寻,Chihiro,千尋,Тихиро,Chihiro,Chihiro,Chihiro,チヒロ,Chihiro,Chihiro,Chihiro,Chihiro,치히로,Chihiro
Koyuki,小雪,Koyuki,小雪,Коюки,Koyuki,Koyuki,Koyuki,コユキ,Koyuki,Koyuki,Koyuki,Koyuki,코유키,Koyuki
