Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
Tendou,天童,Tendou,天童,Тендо,Tendou,Tendou,Tendou,天童,Tendou,Tendou,Tendou,Tendou,텐도,Tendou
Saiba,才羽,Saiba,才羽,Сайба,Saiba,Saiba,Saiba,才羽,Saiba,Saiba,Saiba,Saiba,사이바,Saiba
Hanaoka,花冈,Hanaoka,花岡,Ханаока,Hanaoka,Hanaoka,Hanaoka,花岡,Hanaoka,Hanaoka,Hanaoka,Hanaoka,하나오카,Hanaoka
Hayase,早瀬,Hayase,早瀬,Хаясэ,Hayase,Hayase,Hayase,早瀬,Hayase,Hayase,Hayase,Hayase,하야세,Hayase
Koga,古賀,Koga,古賀,Кога,Koga,Koga,Koga,古賀,Koga,Koga,Koga,Koga,고가,Koga
Ushio,潮,Ushio,潮,Усио,Ushio,Ushio,Ushio,潮,Ushio,Ushio,Ushio,Ushio,우시오,Ushio
Murokasa,室笠,Murokasa,室笠,Мурокаса,Murokasa,Murokasa,Murokasa,室笠,Murokasa,Murokasa,Murokasa,Murokasa,무로카사,Murokasa
Ichinose,一之瀬,Ichinose,一之瀬,Итиносэ,Ichinose,Ichinose,Ichinose,一之瀬,Ichinose,Ichinose,Ichinose,Ichinose,이치노세,Ichinose
Kakudate,角館,Kakudate,角館,Какудатэ,Kakudate,Kakudate,Kakudate,角館,Kakudate,Kakudate,Kakudate,Kakudate,카쿠다테,Kakudate
Asuma,遊真,Asuma,遊真,Асума,Asuma,Asuma,Asuma,遊真,Asuma,Asuma,Asuma,Asuma,아스마,Asuma
Mikamo,三上,Mikamo,三上,Микамо,Mikamo,Mikamo,Mikamo,三上,Mikamo,Mikamo,Mikamo,Mikamo,미카모,Mikamo
Kisaragi,如月,Kisaragi,如月,Кисараги,Kisaragi,Kisaragi,Kisaragi,如月,Kisaragi,Kisaragi,Kisaragi,Kisaragi,키사라기,Kisaragi
Kazama,風間,Kazama,風間,Кадзама,Kazama,Kazama,Kazama,風間,Kazama,Kazama,Kazama,Kazama,카자마,Kazama
Shirasu,白洲,Shirasu,白洲,Сирасу,Shirasu,Shirasu,Shirasu,白洲,Shirasu,Shirasu,Shirasu,Shirasu,시라스,Shirasu
Takanashi,小鳥遊,Takanashi,小鳥遊,Таканаси,Takanashi,Takanashi,Takanashi,小鳥遊,Takanashi,Takanashi,Takanashi,Takanashi,타카나시,Takanashi
