Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
MilleniumDistrict,千禧区,Millenium District,千禧區,Район Миллениум,Distrito Millenium,Distrito Millenium,Millenium-Bezirk,ミレニアム地区,Quartier Millenium,Dzielnica Millenium,Distrito Millenium,Distrito Millenium,밀레니엄 지구,Millenium Bölgesi
CentralCampus,中央校区,Central Campus,中央校區,Центральный Кампус,Campus Central,Campus Central,Zentraler Campus,中央キャンパス,Campus Central,Centralny Kampus,Campus Central,Campus Central,중앙 캠퍼스,Merkez Kampüs
NorthWing,北翼,North Wing,北翼,Северное Крыло,Ala Norte,Ala Norte,Nordflügel,北ウィング,Aile Nord,Północne Skrzydło,Ala Norte,Ala Norte,북쪽 윙,Kuzey Kanadı
SouthWing,南翼,South Wing,南翼,Южное Крыло,Ala Sur,Ala Sul,Südflügel,南ウィング,Aile Sud,Południowe Skrzydło,Ala Sur,Ala Sul,남쪽 윙,Güney Kanadı
ResearchDistrict,研究区,Research District,研究區,Исследовательский Район,Distrito de Investigación,Distrito de Pesquisa,Forschungs-Bezirk,リサーチ地区,Quartier de Recherche,Dzielnica Badawcza,Distrito de Investigación,Distrito de Pesquisa,리서치 지구,Araştırma Bölgesi
InnovationZone,创新区,Innovation Zone,創新區,Зона Инноваций,Zona de Innovación,Zona de Inovação,Innovations-Zone,イノベーションゾーン,Zone d'Innovation,Strefa Innowacji,Zona de Innovación,Zona de Inovação,이노베이션 존,Yenilik Bölgesi
QuantumState,量子州,Quantum State,量子州,Квантовое Государство,Estado Cuántico,Estado Quântico,Quanten-Staat,クォンタム州,État Quantique,Stan Kwantowy,Estado Cuántico,Estado Quântico,퀀텀 주,Kuantum Devleti
CyberProvince,网络省,Cyber Province,網絡省,Кибер Провинция,Provincia Cibernética,Província Cibernética,Cyber-Provinz,サイバー州,Province Cybernétique,Prowincja Cybernetyczna,Provincia Cibernética,Província Cibernética,사이버 주,Siber Eyalet
TechRegion,科技区,Tech Region,科技區,Техно Регион,Región Tecnológica,Região Tecnológica,Techno-Region,テック地域,Région Technologique,Region Technologiczny,Región Tecnológica,Região Tecnológica,테크 지역,Teknoloji Bölgesi
ScienceTerritory,科学领地,Science Territory,科學領地,Научная Территория,Territorio Científico,Território Científico,Wissenschafts-Territorium,サイエンス領土,Territoire Scientifique,Terytorium Naukowe,Territorio Científico,Território Científico,사이언스 영토,Bilim Toprakları
