Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
Scata,斯卡塔,Scata,斯卡塔,Ската,Scata,Scata,Scata,スカタ,Scata,Scata,Scata,Scata,스카타,Scata
Tilburgh,提尔堡,Tilburgh,提爾堡,Тилбург,Tilburgh,Tilburgh,Tilburgh,ティルバーグ,Tilburgh,Tilburgh,Tilburgh,Tilburgh,틸버그,Tilburgh
Skeltenhem,骷髅镇,Skeltenhem,骷髏鎮,Скелтенхем,Skeltenhem,Skeltenhem,Skeltenhem,スケルテンヘム,Skeltenhem,Skeltenhem,Skeltenhem,Skeltenhem,스켈텐헴,Skeltenhem
Alceston,鹿城,Alceston,鹿城,Алсестон,Alceston,Alceston,Alceston,アルセストン,Alceston,Alceston,Alceston,Alceston,알세스톤,Alceston
Novskoyarsk,新科亚尔斯克,Novskoyarsk,新科亞爾斯克,Новскоярск,Novskoyarsk,Novskoyarsk,Novskoyarsk,ノヴスコヤルスク,Novskoyarsk,Novskoyarsk,Novskoyarsk,Novskoyarsk,노브스코야르스크,Novskoyarsk
Nortica,诺提卡,Nortica,諾提卡,Нортика,Nortica,Nortica,Nortica,ノルティカ,Nortica,Nortica,Nortica,Nortica,노르티카,Nortica
Ashima,阿希玛,Ashima,阿希瑪,Ашима,Ashima,Ashima,Ashima,アシマ,Ashima,Ashima,Ashima,Ashima,아시마,Ashima
Selsin,塞尔辛,Selsin,塞爾辛,Селсин,Selsin,Selsin,Selsin,セルシン,Selsin,Selsin,Selsin,Selsin,셀신,Selsin
Elmouth,艾尔茅斯,Elmouth,艾爾茅斯,Элмаус,Elmouth,Elmouth,Elmouth,エルマウス,Elmouth,Elmouth,Elmouth,Elmouth,엘마우스,Elmouth
Algino,阿尔吉诺,Algino,阿爾吉諾,Алгино,Algino,Algino,Algino,アルギノ,Algino,Algino,Algino,Algino,알지노,Algino
Challs,查尔斯,Challs,查爾斯,Чалс,Challs,Challs,Challs,チャルズ,Challs,Challs,Challs,Challs,찰스,Challs
Bogorsk,波戈尔斯克,Bogorsk,波戈爾斯克,Богорск,Bogorsk,Bogorsk,Bogorsk,ボゴルスク,Bogorsk,Bogorsk,Bogorsk,Bogorsk,보고르스크,Bogorsk
Mabashima,马巴,Mabashima,馬巴,Мабасима,Mabashima,Mabashima,Mabashima,マバシマ,Mabashima,Mabashima,Mabashima,Mabashima,마바시마,Mabashima
Brona,布罗纳,Brona,布羅納,Брона,Brona,Brona,Brona,ブロナ,Brona,Brona,Brona,Brona,브로나,Brona
Copetus,科佩图斯,Copetus,科佩圖斯,Копетус,Copetus,Copetus,Copetus,コペタス,Copetus,Copetus,Copetus,Copetus,코페투스,Copetus
Zubtsover,祖布佐沃,Zubtsover,祖布佐沃,Зубцсовер,Zubtsover,Zubtsover,Zubtsover,ズブツソヴ,Zubtsover,Zubtsover,Zubtsover,Zubtsover,줍초버,Zubtsover
Conthere,康瑟尔,Conthere,康瑟爾,Конзер,Conthere,Conthere,Conthere,コンゼア,Conthere,Conthere,Conthere,Conthere,콘제어,Conthere
Midhurch,米德教堂,Midhurch,米德教堂,Мидхёрч,Midhurch,Midhurch,Midhurch,ミッドハーチ,Midhurch,Midhurch,Midhurch,Midhurch,미드처치,Midhurch
Labara,拉巴拉,Labara,拉巴拉,Лабара,Labara,Labara,Labara,ラバラ,Labara,Labara,Labara,Labara,라바라,Labara
Binsk,宾斯克,Binsk,賓斯克,Бинск,Binsk,Binsk,Binsk,ビンスク,Binsk,Binsk,Binsk,Binsk,빈스크,Binsk
Minan,米南,Minan,米南,Минан,Minan,Minan,Minan,ミナン,Minan,Minan,Minan,Minan,미난,Minan
Urechi,乌雷奇,Urechi,烏雷奇,Уречи,Urechi,Urechi,Urechi,ウレチ,Urechi,Urechi,Urechi,Urechi,우레치,Urechi
Takewe,塔克维,Takewe,塔克維,Такеве,Takewe,Takewe,Takewe,タケウェ,Takewe,Takewe,Takewe,Takewe,타케웨,Takewe
Emmenster,埃门斯特,Emmenster,埃門斯特,Эменстер,Emmenster,Emmenster,Emmenster,エメンスター,Emmenster,Emmenster,Emmenster,Emmenster,에멘스터,Emmenster
