Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
Genoa_56d4c2dd,Genoa,Genoa,Genoa,Genoa,Genoa,Genoa,Genoa,Genoa,Genoa,Genoa,Genoa,Genoa,Genoa,Genoa
Vermeer_df7201b0,Vermeer,Vermeer,Vermeer,Vermeer,Vermeer,Vermeer,Vermeer,Vermeer,Vermeer,Vermeer,Vermeer,Vermeer,Vermeer,Vermeer
Cezanne_ddece2a8,Cezanne,Cezanne,Cezanne,Cezanne,Cezanne,Cezanne,Cezanne,Cezanne,Cezanne,Cezanne,Cezanne,Cezanne,Cezanne,Cezanne
Renoir_5026d572,Renoir,Renoir,Renoir,Renoir,Renoir,Renoir,Renoir,Renoir,Renoir,Renoir,Renoir,Renoir,Renoir,Renoir
Matisse_4e826ea7,Matisse,Matisse,Matisse,Matisse,Matisse,Matisse,Matisse,Matisse,Matisse,Matisse,Matisse,Matisse,Matisse,Matisse
Raven Ridge_650dcb2a,Raven Ridge,Raven Ridge,Raven Ridge,Raven Ridge,Raven Ridge,Raven Ridge,Raven Ridge,Raven Ridge,Raven Ridge,Raven Ridge,Raven Ridge,Raven Ridge,Raven Ridge,Raven Ridge
Kaveri_97f7785a,Kaveri,Kaveria,Kaveri,Kaveri,Kaveri,Kaveri,Kaveri,Kaveri,Kaveri,Kaveri,Kaveri,Kaveri,Kaveri,Kaveri
Piledriver_67509a63,Piledriver,Piledriver,Piledriver,Piledriver,Piledriver,Piledriver,Piledriver,Piledriver,Piledriver,Piledriver,Piledriver,Piledriver,Piledriver,Piledriver
Phenom_2e17c204,Phenom,Phenom,Phenom,Phenom,Phenom,Phenom,Phenom,Phenom,Phenom,Phenom,Phenom,Phenom,Phenom,Phenom
Turion_8975d930,Turion,Turion,Turion,Turion,Turion,Turion,Turion,Turion,Turion,Turion,Turion,Turion,Turion,Turion
Opteron_58fcbcce,Opteron,Opteron,Opteron,Opteron,Opteron,Opteron,Opteron,Opteron,Opteron,Opteron,Opteron,Opteron,Opteron,Opteron
Semrpon_3c335a47,Semrpon,Semrpon,Semrpon,Semrpon,Semrpon,Semrpon,Semrpon,Semrpon,Semrpon,Semrpon,Semrpon,Semrpon,Semrpon,Semrpon
Bulldozer_43d0f71d,Bulldozer,Bulldozer,Bulldozer,Bulldozer,Bulldozer,Bulldozer,Bulldozer,Bulldozer,Bulldozer,Bulldozer,Bulldozer,Bulldozer,Bulldozer,Bulldozer
Venus_af67eca5,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus
Camaro_72a5064c,Camaro,Camaro,Camaro,Camaro,Camaro,Camaro,Camaro,Camaro,Camaro,Camaro,Camaro,Camaro,Camaro,Camaro
Morgan_81bd8648,Morgan,Morgan,Morgan,Morgan,Morgan,Morgan,Morgan,Morgan,Morgan,Morgan,Morgan,Morgan,Morgan,Morgan
Zen_a53b4b8e,Zen,Zen,Zen,Zen,Zen,Zen,Zen,Zen,Zen,Zen,Zen,Zen,Zen,Zen
Athlon_7bad8c2e,Athlon,Athlon,Athlon,Athlon,Athlon,Athlon,Athlon,Athlon,Athlon,Athlon,Athlon,Athlon,Athlon,Athlon
Ryzen_770bcfb1,Ryzen,Ryzen,Ryzen,Ryzen,Ryzen,Ryzen,Ryzen,Ryzen,Ryzen,Ryzen,Ryzen,Ryzen,Ryzen,Ryzen
Snapdragon_ca1df13b,Snapdragon,Snapdragon,Snapdragon,Snapdragon,Snapdragon,Snapdragon,Snapdragon,Snapdragon,Snapdragon,Snapdragon,Snapdragon,Snapdragon,Snapdragon,Snapdragon
Micronia_e8747bfe,Micronia,Micronia,Micronia,Micronia,Micronia,Micronia,Micronia,Micronia,Micronia,Micronia,Micronia,Micronia,Micronia,Micronia
Intelle_ffe3e3d9,Intelle,Intelle,Intelle,Intelle,Intelle,Intelle,Intelle,Intelle,Intelle,Intelle,Intelle,Intelle,Intelle,Intelle
Radeon_83297021,Radeon,Radeon,Radeon,Radeon,Radeon,Radeon,Radeon,Radeon,Radeon,Radeon,Radeon,Radeon,Radeon,Radeon
Envidia_95dfdddc,Envidia,Envidia,Envidia,Envidia,Envidia,Envidia,Envidia,Envidia,Envidia,Envidia,Envidia,Envidia,Envidia,Envidia
Haswell_9caf12d0,Haswell,Haswell,Haswell,Haswell,Haswell,Haswell,Haswell,Haswell,Haswell,Haswell,Haswell,Haswell,Haswell,Haswell
Polaris_23e8bb09,Polaris,Polaris,Polaris,Polaris,Polaris,Polaris,Polaris,Polaris,Polaris,Polaris,Polaris,Polaris,Polaris,Polaris
Vega_fd0d52f4,Vega,Vega,Vega,Vega,Vega,Vega,Vega,Vega,Vega,Vega,Vega,Vega,Vega,Vega
