Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
FemaleName_1,切里诺,Cherino,切里諾,Черино,Cherino,Cherino,Cherino,チェリノ,Cherino,Cherino,Cherino,Cherino,체리노,Cherino
FemaleName_2,玛丽娜,Marina,瑪麗娜,Марина,Marina,Marina,Marina,マリナ,Marina,Marina,Marina,Marina,마리나,Marina
FemaleName_3,野野香,Nodoka,野々香,Нодока,Nodoka,Nodoka,Nodoka,ノドカ,Nodoka,Nodoka,Nodoka,Nodoka,노도카,Nodoka
FemaleName_4,时,Toki,時,Токи,Toki,Toki,Toki,トキ,Toki,Toki,Toki,Toki,토키,Toki
FemaleName_5,晴奈,Haruna,晴奈,Харуна,Haruna,Haruna,Haruna,ハルナ,Haruna,Haruna,Haruna,Haruna,하루나,Haruna
FemaleName_6,娜塔莉亚,Natalia,娜塔莉亞,Наталья,Natalia,Natália,Natalia,ナターリア,Natalia,Natalia,Natalia,Natália,나탈리아,Natalya
FemaleName_7,叶卡捷琳娜,Yekaterina,葉卡捷琳娜,Екатерина,Yekaterina,Yekaterina,Yekaterina,エカテリーナ,Ekaterina,Jekaterina,Yekaterina,Yekaterina,예카테리나,Yekaterina
FemaleName_8,安娜,Anna,安娜,Анна,Anna,Ana,Anna,アンナ,Anna,Anna,Anna,Ana,안나,Anna
FemaleName_9,奥尔加,Olga,奧爾加,Ольга,Olga,Olga,Olga,オルガ,Olga,Olga,Olga,Olga,올가,Olga
FemaleName_10,塔季扬娜,Tatyana,塔季揚娜,Татьяна,Tatiana,Tatiana,Tatjana,タチアナ,Tatiana,Tatiana,Tatiana,Tatiana,타티아나,Tatyana
FemaleName_11,伊琳娜,Irina,伊琳娜,Ирина,Irina,Irina,Irina,イリーナ,Irina,Irina,Irina,Irina,이리나,İrina
FemaleName_12,斯韦特兰娜,Svetlana,斯韋特蘭娜,Светлана,Svetlana,Svetlana,Svetlana,スヴェトラーナ,Svetlana,Swietłana,Svetlana,Svetlana,스베틀라나,Svetlana
FemaleName_13,玛利亚,Maria,瑪利亞,Мария,María,Maria,Maria,マリア,Maria,Maria,María,Maria,마리아,Mariya
FemaleName_14,达莉亚,Darya,達莉亞,Дарья,Daria,Dária,Darja,ダリア,Daria,Daria,Daria,Dária,다리아,Darya
FemaleName_15,尤利娅,Yulia,尤利婭,Юлия,Julia,Júlia,Julia,ユリア,Julia,Julia,Julia,Júlia,율리아,Yuliya
FemaleName_16,叶莲娜,Yelena,葉蓮娜,Елена,Elena,Helena,Jelena,エレーナ,Elena,Jelena,Elena,Helena,옐레나,Yelena
FemaleName_17,瓦伦蒂娜,Valentina,瓦倫蒂娜,Валентина,Valentina,Valentina,Valentina,ヴァレンティーナ,Valentina,Walentyna,Valentina,Valentina,발렌티나,Valentina
FemaleName_18,波琳娜,Polina,波琳娜,Полина,Polina,Polina,Polina,ポリーナ,Polina,Polina,Polina,Polina,폴리나,Polina
FemaleName_19,薇拉,Vera,薇拉,Вера,Vera,Vera,Vera,ヴェラ,Vera,Wiera,Vera,Vera,베라,Vera
FemaleName_20,柳德米拉,Lyudmila,柳德米拉,Людмила,Liudmila,Liudmila,Ljudmila,リュドミラ,Lioudmila,Ludmiła,Liudmila,Liudmila,류드밀라,Lyudmila
FemaleName_21,加琳娜,Galina,加琳娜,Галина,Galina,Galina,Galina,ガリーナ,Galina,Galina,Galina,Galina,갈리나,Galina
FemaleName_22,拉里莎,Larisa,拉里莎,Лариса,Larisa,Larisa,Larissa,ラリーサ,Larissa,Larysa,Larisa,Larisa,라리사,Larisa
FemaleName_23,维多利亚,Victoria,維多利亞,Виктория,Victoria,Vitória,Viktoria,ヴィクトリア,Victoria,Wiktoria,Victoria,Vitória,빅토리아,Viktoriya
FemaleName_24,克谢尼娅,Kseniya,克謝尼婭,Ксения,Xenia,Ksênia,Ksenija,クセーニア,Xénia,Ksenia,Xenia,Ksênia,크세니야,Kseniya
FemaleName_25,安吉丽娜,Angelina,安吉麗娜,Ангелина,Angélica,Angélica,Angelina,アンジェリーナ,Angélique,Angelina,Angélica,Angélica,안젤리나,Angelina
FemaleName_26,阿丽娜,Alina,阿麗娜,Алина,Alina,Alina,Alina,アリーナ,Alina,Alina,Alina,Alina,알리나,Alina
FemaleName_27,索菲亚,Sofia,索菲亞,София,Sofía,Sofia,Sofia,ソフィア,Sofia,Zofia,Sofía,Sofia,소피아,Sofiya
FemaleName_28,季娜伊达,Zinaida,季娜伊達,Зинаида,Zinaida,Zinaida,Sinaida,ジナイーダ,Zinaïde,Zinaida,Zinaida,Zinaida,지나이다,Zinaida
FemaleName_29,妮娜,Nina,妮娜,Нина,Nina,Nina,Nina,ニーナ,Nina,Nina,Nina,Nina,니나,Nina
FemaleName_30,柳波芙,Lyubov,柳波芙,Любовь,Liubov,Liubov,Ljubow,リュボーフ,Lioubov,Lubow,Liubov,Liubov,류보프,Lyubov
FemaleName_31,拉伊莎,Raisa,拉伊莎,Раиса,Raisa,Raísa,Raissa,ライサ,Raïssa,Raisa,Raisa,Raísa,라이사,Raisa
