Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
LastName_1,天童,Tendou,天童,Тендо,Tendou,Tendou,Tendou,テンドウ,Tendou,Tendou,Tendou,Tendou,텐도,Tendou
LastName_2,伊科玛,Ikoma,伊科瑪,Икома,Ikoma,Ikoma,Ikoma,イコマ,Ikoma,Ikoma,Ikoma,Ikoma,이코마,İkoma
LastName_3,尾刃,Oba,尾刃,Оба,Oba,Oba,Oba,オバ,Oba,Oba,Oba,Oba,오바,Oba
LastName_4,伊万诺夫,Ivanov,伊萬諾夫,Иванов,Ivanov,Ivanov,Iwanow,イワノフ,Ivanov,Iwanow,Ivanov,Ivanov,이바노프,İvanov
LastName_5,彼得罗夫,Petrov,彼得羅夫,Петров,Petrov,Petrov,Petrow,ペトロフ,Petrov,Pietrow,Petrov,Petrov,페트로프,Petrov
LastName_6,西多罗夫,Sidorov,西多羅夫,Сидоров,Sidorov,Sidorov,Sidorow,シドロフ,Sidorov,Sidorow,Sidorov,Sidorov,시도로프,Sidorov
LastName_7,库兹涅佐夫,Kuznetsov,庫茲涅佐夫,Кузнецов,Kuznetsov,Kuznetsov,Kusnezow,クズネツォフ,Kuznetsov,Kuzniecow,Kuznetsov,Kuznetsov,쿠즈네초프,Kuznetsov
LastName_8,波波夫,Popov,波波夫,Попов,Popov,Popov,Popow,ポポフ,Popov,Popow,Popov,Popov,포포프,Popov
LastName_9,索科洛夫,Sokolov,索科洛夫,Соколов,Sokolov,Sokolov,Sokolow,ソコロフ,Sokolov,Sokołow,Sokolov,Sokolov,소콜로프,Sokolov
LastName_10,莱别杰夫,Lebedev,萊別傑夫,Лебедев,Lebedev,Lebedev,Lebedew,レベデフ,Lebedev,Lebiediew,Lebedev,Lebedev,레베데프,Lebedev
LastName_11,科兹洛夫,Kozlov,科茲洛夫,Козлов,Kozlov,Kozlov,Koslow,コズロフ,Kozlov,Kozłow,Kozlov,Kozlov,코즐로프,Kozlov
LastName_12,诺维科夫,Novikov,諾維科夫,Новиков,Novikov,Novikov,Nowikow,ノヴィコフ,Novikov,Nowikow,Novikov,Novikov,노비코프,Novikov
LastName_13,莫罗佐夫,Morozov,莫羅佐夫,Морозов,Morozov,Morozov,Morosow,モロゾフ,Morozov,Morozow,Morozov,Morozov,모로조프,Morozov
LastName_14,沃尔科夫,Volkov,沃爾科夫,Волков,Volkov,Volkov,Wolkow,ヴォルコフ,Volkov,Wołkow,Volkov,Volkov,볼코프,Volkov
LastName_15,阿列克谢耶夫,Alekseyev,阿列克謝耶夫,Алексеев,Alekseyev,Alekseyev,Alexejew,アレクセーエフ,Alekseyev,Aleksiejew,Alekseyev,Alekseyev,알렉세예프,Alekseyev
LastName_16,谢苗诺夫,Semyonov,謝苗諾夫,Семёнов,Semiónov,Semiónov,Semjonow,セミョーノフ,Semionov,Siemionow,Semiónov,Semiónov,세묘노프,Semyonov
LastName_17,瓦西里耶夫,Vasilyev,瓦西里耶夫,Васильев,Vasíliev,Vasíliev,Wassiliew,ワシリエフ,Vassiliev,Wasiliew,Vasíliev,Vasíliev,바실리예프,Vasilyev
LastName_18,帕夫洛夫,Pavlov,帕夫洛夫,Павлов,Pávlov,Pávlov,Pawlow,パヴロフ,Pavlov,Pawłow,Pávlov,Pávlov,파블로프,Pavlov
LastName_19,米哈伊洛夫,Mikhailov,米哈伊洛夫,Михайлов,Mijáilov,Mijáilov,Michailow,ミハイロフ,Mikhaïlov,Michajłow,Mijáilov,Mijáilov,미하일로프,Mikhailov
LastName_20,罗曼诺夫,Romanov,羅曼諾夫,Романов,Románov,Románov,Romanow,ロマノフ,Romanov,Romanow,Románov,Románov,로마노프,Romanov
LastName_21,费多罗夫,Fyodorov,費多羅夫,Фёдоров,Fiódorov,Fiódorov,Fjodorow,フョードロフ,Fiodorov,Fiodorow,Fiódorov,Fiódorov,표도로프,Fyodorov
LastName_22,尼基京,Nikitin,尼基京,Никитин,Nikitín,Nikitín,Nikitin,ニキーチン,Nikitine,Nikitin,Nikitín,Nikitín,니키틴,Nikitin
LastName_23,格里戈里耶夫,Grigoryev,格里戈里耶夫,Григорьев,Grigóriev,Grigóriev,Grigorjew,グリゴリエフ,Grigoriev,Grigoriew,Grigóriev,Grigóriev,그리고리예프,Grigoryev
LastName_24,拉扎列夫,Lazarev,拉扎列夫,Лазарев,Lázarev,Lázarev,Lasarew,ラザレフ,Lazarev,Łazariew,Lázarev,Lázarev,라자레프,Lazarev
LastName_25,梅德韦杰夫,Medvedev,梅德韋傑夫,Медведев,Medvédev,Medvédev,Medwedew,メドヴェージェフ,Medvedev,Miedwiediew,Medvédev,Medvédev,메드베데프,Medvedev
LastName_26,叶戈罗夫,Yegorov,葉戈羅夫,Егоров,Yegórov,Yegórov,Jegorow,エゴロフ,Egorov,Jegorow,Yegórov,Yegórov,예고로프,Yegorov
LastName_27,鲍里索夫,Borisov,鮑里索夫,Борисов,Borísov,Borísov,Borissow,ボリソフ,Borissov,Borysow,Borísov,Borísov,보리소프,Borisov
LastName_28,安德烈耶夫,Andreyev,安德烈耶夫,Андреев,Andréyev,Andréyev,Andrejew,アンドレーエフ,Andreïev,Andriejew,Andréyev,Andréyev,안드레예프,Andreyev
LastName_29,尼古拉耶夫,Nikolayev,尼古拉耶夫,Николаев,Nikoláyev,Nikoláyev,Nikolajew,ニコラーエフ,Nikolaïev,Nikołajew,Nikoláyev,Nikoláyev,니콜라예프,Nikolayev
LastName_30,奥尔洛夫,Orlov,奧爾洛夫,Орлов,Órlov,Órlov,Orlow,オルロフ,Orlov,Orłow,Órlov,Órlov,오를로프,Orlov
