Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
FemaleName_1,丽莎,Reisa,麗莎,Рейса,Reisa,Reisa,Reisa,レイサ,Reisa,Reisa,Reisa,Reisa,레이사,Reisa
FemaleName_2,奇娜,Pina,奇娜,Пина,Pina,Pina,Pina,ピナ,Pina,Pina,Pina,Pina,피나,Pina
FemaleName_3,千寻,Chihiro,千尋,Чихиро,Chihiro,Chihiro,Chihiro,チヒロ,Chihiro,Chihiro,Chihiro,Chihiro,치히로,Chihiro
FemaleName_4,美娜,Mina,美娜,Мина,Mina,Mina,Mina,ミナ,Mina,Mina,Mina,Mina,미나,Mina
FemaleName_5,梅,Mei,梅,Мэй,Mei,Mei,Mei,メイ,Mei,Mei,Mei,Mei,메이,Mei
FemaleName_6,玲,Ling,玲,Лин,Ling,Ling,Ling,リン,Ling,Ling,Ling,Ling,링,Ling
FemaleName_7,雪,Xue,雪,Сюэ,Xue,Xue,Xue,シュエ,Xue,Xue,Xue,Xue,쉐,Xue
FemaleName_8,芳,Fang,芳,Фан,Fang,Fang,Fang,ファン,Fang,Fang,Fang,Fang,팡,Fang
FemaleName_9,莲,Lian,蓮,Лянь,Lian,Lian,Lian,リエン,Lian,Lian,Lian,Lian,리엔,Lian
FemaleName_10,婷,Ting,婷,Тин,Ting,Ting,Ting,ティン,Ting,Ting,Ting,Ting,팅,Ting
FemaleName_11,霞,Xia,霞,Ся,Xia,Xia,Xia,シア,Xia,Xia,Xia,Xia,샤,Xia
FemaleName_12,兰,Lan,蘭,Лань,Lan,Lan,Lan,ラン,Lan,Lan,Lan,Lan,란,Lan
FemaleName_13,月,Yue,月,Юэ,Yue,Yue,Yue,ユエ,Yue,Yue,Yue,Yue,위에,Yue
FemaleName_14,云,Yun,雲,Юнь,Yun,Yun,Yun,ユン,Yun,Yun,Yun,Yun,윈,Yun
FemaleName_15,凤,Feng,鳳,Фэн,Feng,Feng,Feng,フェン,Feng,Feng,Feng,Feng,펑,Feng
FemaleName_16,琪,Qi,琪,Ци,Qi,Qi,Qi,チー,Qi,Qi,Qi,Qi,치,Qi
FemaleName_17,瑶,Yao,瑤,Яо,Yao,Yao,Yao,ヤオ,Yao,Yao,Yao,Yao,야오,Yao
FemaleName_18,珊,Shan,珊,Шань,Shan,Shan,Shan,シャン,Shan,Shan,Shan,Shan,샨,Shan
FemaleName_19,晶,Jing,晶,Цзин,Jing,Jing,Jing,ジン,Jing,Jing,Jing,Jing,징,Jing
FemaleName_20,颖,Ying,穎,Ин,Ying,Ying,Ying,イン,Ying,Ying,Ying,Ying,잉,Ying
FemaleName_21,嫣,Yan,嫣,Янь,Yan,Yan,Yan,イェン,Yan,Yan,Yan,Yan,옌,Yan
FemaleName_22,蕊,Rui,蕊,Жуй,Rui,Rui,Rui,ルイ,Rui,Rui,Rui,Rui,루이,Rui
FemaleName_23,彤,Tong,彤,Тун,Tong,Tong,Tong,トン,Tong,Tong,Tong,Tong,퉁,Tong
FemaleName_24,曦,Xi,曦,Си,Xi,Xi,Xi,シー,Xi,Xi,Xi,Xi,시,Xi
FemaleName_25,涵,Han,涵,Хань,Han,Han,Han,ハン,Han,Han,Han,Han,한,Han
FemaleName_26,洁,Jie,潔,Цзе,Jie,Jie,Jie,ジエ,Jie,Jie,Jie,Jie,지에,Jie
FemaleName_27,怡,Yi,怡,И,Yi,Yi,Yi,イー,Yi,Yi,Yi,Yi,이,Yi
FemaleName_28,诗,Shi,詩,Ши,Shi,Shi,Shi,シー,Shi,Shi,Shi,Shi,스,Shi
FemaleName_29,韵,Yun,韻,Юнь,Yun,Yun,Yun,ユン,Yun,Yun,Yun,Yun,윈,Yun
FemaleName_30,慧,Hui,慧,Хуэй,Hui,Hui,Hui,フイ,Hui,Hui,Hui,Hui,후이,Hui
FemaleName_31,瑾,Jin,瑾,Цзинь,Jin,Jin,Jin,ジン,Jin,Jin,Jin,Jin,진,Jin
FemaleName_32,蓉,Rong,蓉,Жун,Rong,Rong,Rong,ロン,Rong,Rong,Rong,Rong,롱,Rong
FemaleName_33,薇,Wei,薇,Вэй,Wei,Wei,Wei,ウェイ,Wei,Wei,Wei,Wei,웨이,Wei
FemaleName_34,娜,Na,娜,На,Na,Na,Na,ナ,Na,Na,Na,Na,나,Na
FemaleName_35,璇,Xuan,璇,Сюань,Xuan,Xuan,Xuan,シュエン,Xuan,Xuan,Xuan,Xuan,쉬엔,Xuan
