Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugul,Korean,Turkish
LastName_1,李,Li,李,Ли,Li,Li,Li,リー,Li,Li,Li,Li,리,Li
LastName_2,王,Wang,王,Ван,Wang,Wang,Wang,ワン,Wang,Wang,Wang,Wang,왕,Wang
LastName_3,张,Zhang,張,Чжан,Zhang,Zhang,Zhang,チャン,Zhang,Zhang,Zhang,Zhang,장,Zhang
LastName_4,刘,Liu,劉,Лю,Liu,Liu,Liu,リウ,Liu,Liu,Liu,Liu,류,Liu
LastName_5,陈,Chen,陳,Чэнь,Chen,Chen,Chen,チェン,Chen,Chen,Chen,Chen,천,Chen
LastName_6,杨,Yang,楊,Ян,Yang,Yang,Yang,ヤン,Yang,Yang,Yang,Yang,양,Yang
LastName_7,赵,Zhao,趙,Чжао,Zhao,Zhao,Zhao,チャオ,Zhao,Zhao,Zhao,Zhao,자오,Zhao
LastName_8,黄,Huang,黃,Хуан,Huang,Huang,Huang,ホアン,Huang,Huang,Huang,Huang,황,Huang
LastName_9,周,Zhou,周,Чжоу,Zhou,Zhou,Zhou,チョウ,Zhou,Zhou,Zhou,Zhou,저우,Zhou
LastName_10,吴,Wu,吳,У,Wu,Wu,Wu,ウー,Wu,Wu,Wu,Wu,우,Wu
LastName_11,徐,Xu,徐,Сюй,Xu,Xu,Xu,シュー,Xu,Xu,Xu,Xu,쉬,Xu
LastName_12,孙,Sun,孫,Сунь,Sun,Sun,Sun,スン,Sun,Sun,Sun,Sun,순,Sun
LastName_13,胡,Hu,胡,Ху,Hu,Hu,Hu,フー,Hu,Hu,Hu,Hu,후,Hu
LastName_14,朱,Zhu,朱,Чжу,Zhu,Zhu,Zhu,チュー,Zhu,Zhu,Zhu,Zhu,주,Zhu
LastName_15,高,Gao,高,Гао,Gao,Gao,Gao,ガオ,Gao,Gao,Gao,Gao,가오,Gao
LastName_16,林,Lin,林,Линь,Lin,Lin,Lin,リン,Lin,Lin,Lin,Lin,린,Lin
LastName_17,何,He,何,Хэ,He,He,He,ホー,He,He,He,He,허,He
LastName_18,郭,Guo,郭,Го,Guo,Guo,Guo,グオ,Guo,Guo,Guo,Guo,궈,Guo
LastName_19,马,Ma,馬,Ма,Ma,Ma,Ma,マー,Ma,Ma,Ma,Ma,마,Ma
LastName_20,罗,Luo,羅,Ло,Luo,Luo,Luo,ルオ,Luo,Luo,Luo,Luo,뤄,Luo
LastName_21,梁,Liang,梁,Лян,Liang,Liang,Liang,リアン,Liang,Liang,Liang,Liang,량,Liang
LastName_22,宋,Song,宋,Сун,Song,Song,Song,ソン,Song,Song,Song,Song,송,Song
LastName_23,郑,Zheng,鄭,Чжэн,Zheng,Zheng,Zheng,チェン,Zheng,Zheng,Zheng,Zheng,정,Zheng
LastName_24,谢,Xie,謝,Се,Xie,Xie,Xie,シエ,Xie,Xie,Xie,Xie,시에,Xie
LastName_25,韩,Han,韓,Хань,Han,Han,Han,ハン,Han,Han,Han,Han,한,Han
LastName_26,唐,Tang,唐,Тан,Tang,Tang,Tang,タン,Tang,Tang,Tang,Tang,탕,Tang
LastName_27,冯,Feng,馮,Фэн,Feng,Feng,Feng,フォン,Feng,Feng,Feng,Feng,펑,Feng
LastName_28,于,Yu,于,Юй,Yu,Yu,Yu,ユー,Yu,Yu,Yu,Yu,위,Yu
LastName_29,董,Dong,董,Дун,Dong,Dong,Dong,ドン,Dong,Dong,Dong,Dong,둥,Dong
LastName_30,萧,Xiao,蕭,Сяо,Xiao,Xiao,Xiao,シャオ,Xiao,Xiao,Xiao,Xiao,샤오,Xiao
