Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
FemaleName_1,渚,Nagisa,渚,Нагиса,Nagisa,Nagisa,Nagisa,ナギサ,Nagisa,Nagisa,Nagisa,Nagisa,나기사,Nagisa
FemaleName_2,未花,Mika,未花,Мика,Mika,Mika,Mika,ミカ,Mika,Mika,Mika,Mika,미카,Mika
FemaleName_3,圣娅,Seia,聖婭,Сейа,Seia,Seia,Seia,セイア,Seia,Seia,Seia,Seia,세이아,Seia
FemaleName_4,美游,Miu,美遊,Мию,Miu,Miu,Miu,ミウ,Miu,Miu,Miu,Miu,미우,Miu
FemaleName_5,桐乃,Kirino,桐乃,Кирино,Kirino,Kirino,Kirino,キリノ,Kirino,Kirino,Kirino,Kirino,키리노,Kirino
FemaleName_6,初音,Hatsune,初音,Хацунэ,Hatsune,Hatsune,Hatsune,ハツネ,Hatsune,Hatsune,Hatsune,Hatsune,하츠네,Hatsune
FemaleName_7,亚津子,Azusa,亞津子,Адзуса,Azusa,Azusa,Azusa,アズサ,Azusa,Azusa,Azusa,Azusa,아즈사,Azusa
FemaleName_8,花子,Hanako,花子,Ханако,Hanako,Hanako,Hanako,ハナコ,Hanako,Hanako,Hanako,Hanako,하나코,Hanako
FemaleName_9,小春,Koharu,小春,Кохару,Koharu,Koharu,Koharu,コハル,Koharu,Koharu,Koharu,Koharu,코하루,Koharu
FemaleName_10,日富美,Hifumi,日富美,Хифуми,Hifumi,Hifumi,Hifumi,ヒフミ,Hifumi,Hifumi,Hifumi,Hifumi,히후미,Hifumi
FemaleName_11,纱织,Saori,紗織,Саори,Saori,Saori,Saori,サオリ,Saori,Saori,Saori,Saori,사오리,Saori
FemaleName_12,敦子,Atsuko,敦子,Ацуко,Atsuko,Atsuko,Atsuko,アツコ,Atsuko,Atsuko,Atsuko,Atsuko,아츠코,Atsuko
FemaleName_13,日和,Hiyori,日和,Хиёри,Hiyori,Hiyori,Hiyori,ヒヨリ,Hiyori,Hiyori,Hiyori,Hiyori,히요리,Hiyori
FemaleName_14,美咲,Misaki,美咲,Мисаки,Misaki,Misaki,Misaki,ミサキ,Misaki,Misaki,Misaki,Misaki,미사키,Misaki
FemaleName_15,玛丽,Mari,瑪麗,Мари,Mari,Mari,Mari,マリー,Mari,Mari,Mari,Mari,마리,Mari
FemaleName_16,真白,Mashiro,真白,Маширо,Mashiro,Mashiro,Mashiro,マシロ,Mashiro,Mashiro,Mashiro,Mashiro,마시로,Mashiro
FemaleName_17,瞬,Shun,瞬,Сюн,Shun,Shun,Shun,シュン,Shun,Shun,Shun,Shun,슌,Shun
FemaleName_18,菫,Sumire,菫,Сумирэ,Sumire,Sumire,Sumire,スミレ,Sumire,Sumire,Sumire,Sumire,스미레,Sumire
FemaleName_19,樱,Sakura,櫻,Сакура,Sakura,Sakura,Sakura,サクラ,Sakura,Sakura,Sakura,Sakura,사쿠라,Sakura
FemaleName_20,优衣,Yui,優衣,Юи,Yui,Yui,Yui,ユイ,Yui,Yui,Yui,Yui,유이,Yui
FemaleName_21,结衣,Yui,結衣,Юи,Yui,Yui,Yui,ユイ,Yui,Yui,Yui,Yui,유이,Yui
FemaleName_22,爱,Ai,愛,Ай,Ai,Ai,Ai,アイ,Ai,Ai,Ai,Ai,아이,Ai
FemaleName_23,葵,Aoi,葵,Аой,Aoi,Aoi,Aoi,アオイ,Aoi,Aoi,Aoi,Aoi,아오이,Aoi
FemaleName_24,遥,Haruka,遙,Харука,Haruka,Haruka,Haruka,ハルカ,Haruka,Haruka,Haruka,Haruka,하루카,Haruka
FemaleName_25,春奈,Haruna,春奈,Харуна,Haruna,Haruna,Haruna,ハルナ,Haruna,Haruna,Haruna,Haruna,하루나,Haruna
FemaleName_26,莉子,Riko,莉子,Рико,Riko,Riko,Riko,リコ,Riko,Riko,Riko,Riko,리코,Riko
FemaleName_27,美羽,Miu,美羽,Миу,Miu,Miu,Miu,ミウ,Miu,Miu,Miu,Miu,미우,Miu
FemaleName_28,千夏,Chinatsu,千夏,Чинацу,Chinatsu,Chinatsu,Chinatsu,チナツ,Chinatsu,Chinatsu,Chinatsu,Chinatsu,치나츠,Chinatsu
FemaleName_29,柚希,Yuzuki,柚希,Юдзуки,Yuzuki,Yuzuki,Yuzuki,ユズキ,Yuzuki,Yuzuki,Yuzuki,Yuzuki,유즈키,Yuzuki
FemaleName_30,凛,Rin,凜,Рин,Rin,Rin,Rin,リン,Rin,Rin,Rin,Rin,린,Rin
FemaleName_31,穗乃香,Honoka,穗乃香,Хонока,Honoka,Honoka,Honoka,ホノカ,Honoka,Honoka,Honoka,Honoka,호노카,Honoka
FemaleName_32,琴音,Kotone,琴音,Котонэ,Kotone,Kotone,Kotone,コトネ,Kotone,Kotone,Kotone,Kotone,코토네,Kotone
FemaleName_33,真央,Mao,真央,Мао,Mao,Mao,Mao,マオ,Mao,Mao,Mao,Mao,마오,Mao
FemaleName_34,茜,Akane,茜,Аканэ,Akane,Akane,Akane,アカネ,Akane,Akane,Akane,Akane,아카네,Akane
FemaleName_35,纱耶,Saya,紗耶,Сая,Saya,Saya,Saya,サヤ,Saya,Saya,Saya,Saya,사야,Saya
