Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
LastName_1,桐藤,Kirifuji,桐藤,Кирифудзи,Kirifuji,Kirifuji,Kirifuji,キリフジ,Kirifuji,Kirifuji,Kirifuji,Kirifuji,키리후지,Kirifuji
LastName_2,神宫寺,Jinguuji,神宮寺,Дзингудзи,Jinguuji,Jinguuji,Jinguuji,ジングウジ,Jinguuji,Jinguuji,Jinguuji,Jinguuji,진구지,Jinguuji
LastName_3,栗村,Kurimura,栗村,Куримура,Kurimura,Kurimura,Kurimura,クリムラ,Kurimura,Kurimura,Kurimura,Kurimura,쿠리무라,Kurimura
LastName_4,桃井,Momoi,桃井,Момои,Momoi,Momoi,Momoi,モモイ,Momoi,Momoi,Momoi,Momoi,모모이,Momoi
LastName_5,白洲,Shirasu,白洲,Сирасу,Shirasu,Shirasu,Shirasu,シラス,Shirasu,Shirasu,Shirasu,Shirasu,시라스,Shirasu
LastName_6,花冈,Hanaoka,花岡,Ханаока,Hanaoka,Hanaoka,Hanaoka,ハナオカ,Hanaoka,Hanaoka,Hanaoka,Hanaoka,하나오카,Hanaoka
LastName_7,一之瀬,Ichinose,一之瀨,Итиносэ,Ichinose,Ichinose,Ichinose,イチノセ,Ichinose,Ichinose,Ichinose,Ichinose,이치노세,Ichinose
LastName_8,阿慈谷,Ajitani,阿慈谷,Адзитани,Ajitani,Ajitani,Ajitani,アジタニ,Ajitani,Ajitani,Ajitani,Ajitani,아지타니,Ajitani
LastName_9,小钩,Ogata,小鉤,Огата,Ogata,Ogata,Ogata,オガタ,Ogata,Ogata,Ogata,Ogata,오가타,Ogata
LastName_10,妃咲,Kisaki,妃咲,Кисаки,Kisaki,Kisaki,Kisaki,キサキ,Kisaki,Kisaki,Kisaki,Kisaki,키사키,Kisaki
LastName_11,佐藤,Satou,佐藤,Сато,Satou,Satou,Satou,サトウ,Satou,Satou,Satou,Satou,사토,Satou
LastName_12,铃木,Suzuki,鈴木,Судзуки,Suzuki,Suzuki,Suzuki,スズキ,Suzuki,Suzuki,Suzuki,Suzuki,스즈키,Suzuki
LastName_13,高桥,Takahashi,高橋,Такахаси,Takahashi,Takahashi,Takahashi,タカハシ,Takahashi,Takahashi,Takahashi,Takahashi,타카하시,Takahashi
LastName_14,田中,Tanaka,田中,Танака,Tanaka,Tanaka,Tanaka,タナカ,Tanaka,Tanaka,Tanaka,Tanaka,타나카,Tanaka
LastName_15,伊藤,Itou,伊藤,Ито,Itou,Itou,Itou,イトウ,Itou,Itou,Itou,Itou,이토,Itou
LastName_16,渡边,Watanabe,渡邊,Ватанабэ,Watanabe,Watanabe,Watanabe,ワタナベ,Watanabe,Watanabe,Watanabe,Watanabe,와타나베,Watanabe
LastName_17,山本,Yamamoto,山本,Ямамото,Yamamoto,Yamamoto,Yamamoto,ヤマモト,Yamamoto,Yamamoto,Yamamoto,Yamamoto,야마모토,Yamamoto
LastName_18,中村,Nakamura,中村,Накамура,Nakamura,Nakamura,Nakamura,ナカムラ,Nakamura,Nakamura,Nakamura,Nakamura,나카무라,Nakamura
LastName_19,小林,Kobayashi,小林,Кобаяси,Kobayashi,Kobayashi,Kobayashi,コバヤシ,Kobayashi,Kobayashi,Kobayashi,Kobayashi,코바야시,Kobayashi
LastName_20,加藤,Katou,加藤,Като,Katou,Katou,Katou,カトウ,Katou,Katou,Katou,Katou,카토,Katou
LastName_21,吉田,Yoshida,吉田,Йосида,Yoshida,Yoshida,Yoshida,ヨシダ,Yoshida,Yoshida,Yoshida,Yoshida,요시다,Yoshida
LastName_22,山田,Yamada,山田,Ямада,Yamada,Yamada,Yamada,ヤマダ,Yamada,Yamada,Yamada,Yamada,야마다,Yamada
LastName_23,佐佐木,Sasaki,佐佐木,Сасаки,Sasaki,Sasaki,Sasaki,ササキ,Sasaki,Sasaki,Sasaki,Sasaki,사사키,Sasaki
LastName_24,山口,Yamaguchi,山口,Ямагути,Yamaguchi,Yamaguchi,Yamaguchi,ヤマグチ,Yamaguchi,Yamaguchi,Yamaguchi,Yamaguchi,야마구치,Yamaguchi
LastName_25,松本,Matsumoto,松本,Мацумото,Matsumoto,Matsumoto,Matsumoto,マツモト,Matsumoto,Matsumoto,Matsumoto,Matsumoto,마츠모토,Matsumoto
LastName_26,井上,Inoue,井上,Иноуэ,Inoue,Inoue,Inoue,イノウエ,Inoue,Inoue,Inoue,Inoue,이노우에,Inoue
LastName_27,木村,Kimura,木村,Кимура,Kimura,Kimura,Kimura,キムラ,Kimura,Kimura,Kimura,Kimura,키무라,Kimura
LastName_28,林,Hayashi,林,Хаяси,Hayashi,Hayashi,Hayashi,ハヤシ,Hayashi,Hayashi,Hayashi,Hayashi,하야시,Hayashi
LastName_29,斋藤,Saitou,齋藤,Сайто,Saitou,Saitou,Saitou,サイトウ,Saitou,Saitou,Saitou,Saitou,사이토,Saitou
LastName_30,清水,Shimizu,清水,Симидзу,Shimizu,Shimizu,Shimizu,シミズ,Shimizu,Shimizu,Shimizu,Shimizu,시미즈,Shimizu
