Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
FemaleName_1,礼条,Reijo,禮條,Рейдзё,Reijo,Reijo,Reijo,レイジョウ,Reijo,Reijo,Reijo,Reijo,레이조,Reijo
FemaleName_2,艾米,Emi,艾米,Эми,Emi,Emi,Emi,エミ,Emi,Emi,Emi,Emi,에미,Emi
FemaleName_3,香织,Kaori,香織,Каори,Kaori,Kaori,Kaori,カオリ,Kaori,Kaori,Kaori,Kaori,카오리,Kaori
FemaleName_4,美咲,Misaki,美咲,Мисаки,Misaki,Misaki,Misaki,ミサキ,Misaki,Misaki,Misaki,Misaki,미사키,Misaki
FemaleName_5,优子,Yuko,優子,Юко,Yuko,Yuko,Yuko,ユウコ,Yuko,Yuko,Yuko,Yuko,유코,Yuko
FemaleName_6,梨花,Rika,梨花,Рика,Rika,Rika,Rika,リカ,Rika,Rika,Rika,Rika,리카,Rika
FemaleName_7,纱绫,Saaya,紗綾,Саая,Saaya,Saaya,Saaya,サアヤ,Saaya,Saaya,Saaya,Saaya,사아야,Saaya
FemaleName_8,瑞穂,Mizuho,瑞穗,Мидзухо,Mizuho,Mizuho,Mizuho,ミズホ,Mizuho,Mizuho,Mizuho,Mizuho,미즈호,Mizuho
FemaleName_9,琴音,Kotone,琴音,Котонэ,Kotone,Kotone,Kotone,コトネ,Kotone,Kotone,Kotone,Kotone,코토네,Kotone
FemaleName_10,雅美,Masami,雅美,Масами,Masami,Masami,Masami,マサミ,Masami,Masami,Masami,Masami,마사미,Masami
FemaleName_11,千夏,Chinatsu,千夏,Тинацу,Chinatsu,Chinatsu,Chinatsu,チナツ,Chinatsu,Chinatsu,Chinatsu,Chinatsu,치나츠,Chinatsu
FemaleName_12,绘里,Eri,繪里,Эри,Eri,Eri,Eri,エリ,Eri,Eri,Eri,Eri,에리,Eri
FemaleName_13,诗织,Shiori,詩織,Сиори,Shiori,Shiori,Shiori,シオリ,Shiori,Shiori,Shiori,Shiori,시오리,Shiori
FemaleName_14,舞,Mai,舞,Маи,Mai,Mai,Mai,マイ,Mai,Mai,Mai,Mai,마이,Mai
FemaleName_15,明日香,Asuka,明日香,Асука,Asuka,Asuka,Asuka,アスカ,Asuka,Asuka,Asuka,Asuka,아스카,Asuka
FemaleName_16,莉子,Riko,莉子,Рико,Riko,Riko,Riko,リコ,Riko,Riko,Riko,Riko,리코,Riko
FemaleName_17,和香,Waka,和香,Вака,Waka,Waka,Waka,ワカ,Waka,Waka,Waka,Waka,와카,Waka
FemaleName_18,弓子,Yumiko,弓子,Юмико,Yumiko,Yumiko,Yumiko,ユミコ,Yumiko,Yumiko,Yumiko,Yumiko,유미코,Yumiko
FemaleName_19,彩花,Ayaka,彩花,Аяка,Ayaka,Ayaka,Ayaka,アヤカ,Ayaka,Ayaka,Ayaka,Ayaka,아야카,Ayaka
FemaleName_20,结衣,Yui,結衣,Юи,Yui,Yui,Yui,ユイ,Yui,Yui,Yui,Yui,유이,Yui
FemaleName_21,铃音,Suzune,鈴音,Судзунэ,Suzune,Suzune,Suzune,スズネ,Suzune,Suzune,Suzune,Suzune,스즈네,Suzune
FemaleName_22,绫乃,Ayano,綾乃,Аяно,Ayano,Ayano,Ayano,アヤノ,Ayano,Ayano,Ayano,Ayano,아야노,Ayano
FemaleName_23,真理,Mari,真理,Мари,Mari,Mari,Mari,マリ,Mari,Mari,Mari,Mari,마리,Mari
FemaleName_24,枫,Kaede,楓,Каэдэ,Kaede,Kaede,Kaede,カエデ,Kaede,Kaede,Kaede,Kaede,카에데,Kaede
FemaleName_25,沙织,Saori,沙織,Саори,Saori,Saori,Saori,サオリ,Saori,Saori,Saori,Saori,사오리,Saori
FemaleName_26,惠,Megumi,惠,Мэгуми,Megumi,Megumi,Megumi,メグミ,Megumi,Megumi,Megumi,Megumi,메구미,Megumi
FemaleName_27,纱雪,Sayuki,紗雪,Саюки,Sayuki,Sayuki,Sayuki,サユキ,Sayuki,Sayuki,Sayuki,Sayuki,사유키,Sayuki
FemaleName_28,奏,Kanade,奏,Канадэ,Kanade,Kanade,Kanade,カナデ,Kanade,Kanade,Kanade,Kanade,카나데,Kanade
FemaleName_29,响,Hibiki,響,Хибики,Hibiki,Hibiki,Hibiki,ヒビキ,Hibiki,Hibiki,Hibiki,Hibiki,히비키,Hibiki
FemaleName_30,静香,Shizuka,靜香,Сидзука,Shizuka,Shizuka,Shizuka,シズカ,Shizuka,Shizuka,Shizuka,Shizuka,시즈카,Shizuka
FemaleName_31,朱音,Akane,朱音,Аканэ,Akane,Akane,Akane,アカネ,Akane,Akane,Akane,Akane,아카네,Akane
FemaleName_32,春香,Haruka,春香,Харука,Haruka,Haruka,Haruka,ハルカ,Haruka,Haruka,Haruka,Haruka,하루카,Haruka
FemaleName_33,美羽,Miu,美羽,Миу,Miu,Miu,Miu,ミウ,Miu,Miu,Miu,Miu,미우,Miu
FemaleName_34,七海,Nanami,七海,Нанами,Nanami,Nanami,Nanami,ナナミ,Nanami,Nanami,Nanami,Nanami,나나미,Nanami
FemaleName_35,彩音,Ayane,彩音,Аянэ,Ayane,Ayane,Ayane,アヤネ,Ayane,Ayane,Ayane,Ayane,아야네,Ayane
