Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
LastName_1,天音,Amane,天音,Аманэ,Amane,Amane,Amane,アマネ,Amane,Amane,Amane,Amane,아마네,Amane
LastName_2,樱庭,Sakuraba,櫻庭,Сакураба,Sakuraba,Sakuraba,Sakuraba,サクラバ,Sakuraba,Sakuraba,Sakuraba,Sakuraba,사쿠라바,Sakuraba
LastName_3,美园,Misono,美園,Мисоно,Misono,Misono,Misono,ミソノ,Misono,Misono,Misono,Misono,미소노,Misono
LastName_4,音无,Otonashi,音無,Отонаси,Otonashi,Otonashi,Otonashi,オトナシ,Otonashi,Otonashi,Otonashi,Otonashi,오토나시,Otonashi
LastName_5,白鸟,Shiratori,白鳥,Сиратори,Shiratori,Shiratori,Shiratori,シラトリ,Shiratori,Shiratori,Shiratori,Shiratori,시라토리,Shiratori
LastName_6,藤宫,Fujimiya,藤宮,Фудзимия,Fujimiya,Fujimiya,Fujimiya,フジミヤ,Fujimiya,Fujimiya,Fujimiya,Fujimiya,후지미야,Fujimiya
LastName_7,星川,Hoshikawa,星川,Хосикава,Hoshikawa,Hoshikawa,Hoshikawa,ホシカワ,Hoshikawa,Hoshikawa,Hoshikawa,Hoshikawa,호시카와,Hoshikawa
LastName_8,花园,Hanazono,花園,Ханадзоно,Hanazono,Hanazono,Hanazono,ハナゾノ,Hanazono,Hanazono,Hanazono,Hanazono,하나조노,Hanazono
LastName_9,绫小路,Ayakoji,綾小路,Аякодзи,Ayakoji,Ayakoji,Ayakoji,アヤコウジ,Ayakoji,Ayakoji,Ayakoji,Ayakoji,아야코지,Ayakoji
LastName_10,神代,Kamishiro,神代,Камисиро,Kamishiro,Kamishiro,Kamishiro,カミシロ,Kamishiro,Kamishiro,Kamishiro,Kamishiro,카미시로,Kamishiro
LastName_11,天野,Amano,天野,Амано,Amano,Amano,Amano,アマノ,Amano,Amano,Amano,Amano,아마노,Amano
LastName_12,月城,Tsukishiro,月城,Цукисиро,Tsukishiro,Tsukishiro,Tsukishiro,ツキシロ,Tsukishiro,Tsukishiro,Tsukishiro,Tsukishiro,츠키시로,Tsukishiro
LastName_13,雪村,Yukimura,雪村,Юкимура,Yukimura,Yukimura,Yukimura,ユキムラ,Yukimura,Yukimura,Yukimura,Yukimura,유키무라,Yukimura
LastName_14,绯山,Hiyama,緋山,Хияма,Hiyama,Hiyama,Hiyama,ヒヤマ,Hiyama,Hiyama,Hiyama,Hiyama,히야마,Hiyama
LastName_15,琴吹,Kotobuki,琴吹,Котобуки,Kotobuki,Kotobuki,Kotobuki,コトブキ,Kotobuki,Kotobuki,Kotobuki,Kotobuki,코토부키,Kotobuki
LastName_16,彩城,Saijo,彩城,Сайдзё,Saijo,Saijo,Saijo,サイジョウ,Saijo,Saijo,Saijo,Saijo,사이조,Saijo
LastName_17,水无月,Minazuki,水無月,Минадзуки,Minazuki,Minazuki,Minazuki,ミナヅキ,Minazuki,Minazuki,Minazuki,Minazuki,미나즈키,Minazuki
LastName_18,春日,Kasuga,春日,Касуга,Kasuga,Kasuga,Kasuga,カスガ,Kasuga,Kasuga,Kasuga,Kasuga,카스가,Kasuga
LastName_19,秋山,Akiyama,秋山,Акияма,Akiyama,Akiyama,Akiyama,アキヤマ,Akiyama,Akiyama,Akiyama,Akiyama,아키야마,Akiyama
LastName_20,夏目,Natsume,夏目,Нацумэ,Natsume,Natsume,Natsume,ナツメ,Natsume,Natsume,Natsume,Natsume,나츠메,Natsume
LastName_21,冬木,Fuyuki,冬木,Фуюки,Fuyuki,Fuyuki,Fuyuki,フユキ,Fuyuki,Fuyuki,Fuyuki,Fuyuki,후유키,Fuyuki
LastName_22,七濑,Nanase,七瀨,Нанасэ,Nanase,Nanase,Nanase,ナナセ,Nanase,Nanase,Nanase,Nanase,나나세,Nanase
LastName_23,三上,Mikami,三上,Миками,Mikami,Mikami,Mikami,ミカミ,Mikami,Mikami,Mikami,Mikami,미카미,Mikami
LastName_24,五十岚,Igarashi,五十嵐,Игараси,Igarashi,Igarashi,Igarashi,イガラシ,Igarashi,Igarashi,Igarashi,Igarashi,이가라시,Igarashi
LastName_25,八神,Yagami,八神,Ягами,Yagami,Yagami,Yagami,ヤガミ,Yagami,Yagami,Yagami,Yagami,야가미,Yagami
LastName_26,如月,Kisaragi,如月,Кисараги,Kisaragi,Kisaragi,Kisaragi,キサラギ,Kisaragi,Kisaragi,Kisaragi,Kisaragi,키사라기,Kisaragi
LastName_27,宝生,Hoshō,寶生,Хосё,Hoshō,Hoshō,Hoshō,ホウショウ,Hoshō,Hoshō,Hoshō,Hoshō,호쇼,Hoshō
LastName_28,舞园,Maizono,舞園,Майдзоно,Maizono,Maizono,Maizono,マイゾノ,Maizono,Maizono,Maizono,Maizono,마이조노,Maizono
LastName_29,音羽,Otowa,音羽,Отова,Otowa,Otowa,Otowa,オトワ,Otowa,Otowa,Otowa,Otowa,오토와,Otowa
LastName_30,绘里华,Erika,繪里華,Эрика,Erika,Erika,Erika,エリカ,Erika,Erika,Erika,Erika,에리카,Erika
