Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
WildHunt,狂猎,Wild Hunt,狂獵,Дикая Охота,Cacería Salvaje,Caça Selvagem,Wilde Jagd,ワイルドハント,Chasse Sauvage,Dziki Gon,Cacería Salvaje,Caça Selvagem,와일드헌트,Vahşi Av
Kivotos,基沃托斯,Kivotos,基沃托斯,Кивотос,Kivotos,Kivotos,Kivotos,キボトス,Kivotos,Kivotos,Kivotos,Kivotos,키보토스,Kivotos
SCHALE,夏莱,SCHALE,夏萊,ШАЛЕ,SCHALE,SCHALE,SCHALE,シャーレ,SCHALE,SCHALE,SCHALE,SCHALE,샬레,SCHALE
FederalTerritory,联邦领地,Federal Territory,聯邦領地,Федеральная территория,Territorio Federal,Território Federal,Föderales Territorium,連邦領域,Territoire Fédéral,Terytorium Federalne,Territorio Federal,Território Federal,연방영토,Federal Bölge
CreativeDistrict,创意区,Creative District,創意區,Творческий район,Distrito Creativo,Distrito Criativo,Kreativviertel,クリエイティブ地区,Quartier Créatif,Dzielnica Kreatywna,Distrito Creativo,Distrito Criativo,창의지구,Yaratıcı Bölge
CulturalProvince,文化省,Cultural Province,文化省,Культурная провинция,Provincia Cultural,Província Cultural,Kulturprovinz,文化県,Province Culturelle,Prowincja Kulturalna,Provincia Cultural,Província Cultural,문화성,Kültür Eyaleti
PerformingArtsZone,表演艺术区,Performing Arts Zone,表演藝術區,Зона исполнительских искусств,Zona de Artes Escénicas,Zona de Artes Cênicas,Zone der Darstellenden Künste,舞台芸術地帯,Zone des Arts du Spectacle,Strefa Sztuk Scenicznych,Zona de Artes Escénicas,Zona de Artes Cénicas,공연예술지대,Sahne Sanatları Bölgesi
VisualArtsRegion,视觉艺术地区,Visual Arts Region,視覺藝術地區,Регион изобразительных искусств,Región de Artes Visuales,Região de Artes Visuais,Region der Bildenden Künste,視覚芸術地方,Région des Arts Visuels,Region Sztuk Wizualnych,Región de Artes Visuales,Região de Artes Visuais,시각예술지역,Görsel Sanatlar Bölgesi
MusicalTerritory,音乐领地,Musical Territory,音樂領地,Музыкальная территория,Territorio Musical,Território Musical,Musikalisches Territorium,音楽領域,Territoire Musical,Terytorium Muzyczne,Territorio Musical,Território Musical,음악영토,Müzik Bölgesi
LiteraryLands,文学之地,Literary Lands,文學之地,Литературные земли,Tierras Literarias,Terras Literárias,Literarische Ländereien,文学の地,Terres Littéraires,Literackie Ziemie,Tierras Literarias,Terras Literárias,문학의땅,Edebiyat Toprakları
TheatricalProvince,戏剧省,Theatrical Province,戲劇省,Театральная провинция,Provincia Teatral,Província Teatral,Theaterprovinz,演劇県,Province Théâtrale,Prowincja Teatralna,Provincia Teatral,Província Teatral,연극성,Tiyatro Eyaleti
