Key,Chinese,TraditionalChinese,English,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive
BlueArchiveDescription,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive
BlueArchiveHolyBook,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive,Blue Archive
Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos
AbydosDescription,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos
AbydosHolyBook,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos,Abydos
Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity
TrinityDescription,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity
TrinityHolyBook,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity,Trinity
Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna
GehennaDescription,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna
GehennaHolyBook,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna,Gehenna
